<1>	Liham: Marapat na idiskwalipika ang Akbayan	letter: rightful to disqualify Anakbayan
<2>	by Liham sa Patnugot	by letter to the editor
<3>	October 22, 2012	October 22, 2012
<4>	Orly Marcellana ng Kasama-TK (Darius Galang)	Orly Marcellano of Fellows-TK
<5>	Naninindigan ang militanteng kilusang magbubukid sa rehiyon ng Timog Katagalugan na tama at lehitimo ang mainit na panawagang huwag pahintulutan ang grupong Akbayan na tumakbo sa party-list elections.	the militant movement of farmers in the region of Southern Tagalog are standing on the principle that the heated call to disallow the Akbayan group from running in the party-list elections is right and legitimate.
<6>	Sa pagdami ng maralita sa kanayunan na nabuklod at naorganisa sa militanteng tradisyon ng pakikibaka sa lupa, desperado pa rin ang estado sa pagsuporta at paghahasik sa mapanlinlang na kaisipan sa pamamagitan ng mga nagpapanggap na samahang magsasaka (pseudo-farmer’s organization).	with the increase of the poor in the villages which combined and organized the militant tradition of struggle for land, the state is still desperate in supporting and spreading a deceitful ideology by those pretending as farmer's organization (pseudo-farmer's organization).
<7>	Kabungguang-balikat ng AKBAYAN ang mga grupong tulad ng UNORKA, PAKISAMA, PARRDS, PARAGOS, PAMMBUKID-KA, KASAKA-TK, KMBP, CARET, AR NOW, CENTRO-SAKA at PEACE Foundation (Araro PL) sa mga nagkukunwaring maka-magsasakang organisasyon.	the groups such as UNORKA, PAKISAMA, PARRDS, PARAGOS, PAMMBUKID-KA, KASAKA-TK, KMBP, CARET, AR NOW, CENTRO-SAKA and PEACE Foundation (Araro PL) are associates of Akbayan which are pretending as farmer's organizations.
<8>	Ang mga samahang ito ang nagsisilbing espesyal na ahente sa psywar ng gobyerno at AFP para ilihis ang landas ng masang magsasaka sa mapagpalayang adhikain nito at panatilihin ang paghaharing pyudal at mala-pyudal sa kanayunan.	these organizations are serving as special agents of the psychological war of the government and the AFP to deviate the path of the masses of farmers from the liberal aspirations and maintain the feudal and semi-feudal reign in the villages.
<9>	Nakapagtala ng may dalawampung (20) maliliit na grupo ng repormista at nagpapanggap na organisasyong magbubukid sa rehiyon.	recorded 20 (20) smaller groups of reformists and pretending as farmer's organization in the region.
<10>	Nagtatangka silang ibulid sa repormismo ang uring magsasaka – wasakin ang base ng militanteng kilusan at pagkakaisa ng maralita sa kanayunan upang patuloy na makapagsamantala at makapaghari ang mga panginoong maylupa at mga kasabwat nito.	they are attempting to tie the class of farmers to reformation, destroy the base of the militant movement and cooperation of the poor in the villages to continue the exploitation and reign of landlords and their accomplices.
<11>	Mahaba ang rekord ng panlilinlang ng Akbayan at mga kasapakat nitong pseudo-farmer’s organization sa masang magsasaka sa bansa.	the record of deceit of Akbayan is long and its accomplices of pseudo-farmer's organization to the mass of farmers in the country.
