<1>	Estilong Tambiolo*	lottery style*
<2>	ni Mary Joy Capistrano	by Mary Joy Capistrano
<3>	NAKAKAGALIT. KASUMPA-SUMPA. Kung nakamamatay lang ang paggamit ng malalaking letra sa bawat salita, marami na siguro akong naging biktima.	revolting. disgusting. if the use of capital letters in each word can cause death, perhaps I would have many victims already.
<4>	Maagang natapos ang klase ko kanina dahil nagkaroon lang kami ng konsultasyon sa propesor, kaya dumiretso agad ako sa dorm para simulan na sana ang mga papel na hindi ko matapos-tapos.	my classes finished early today because we just had a consultation with the professor, so I went straight to the dorm to hopefully start on papers that I can't seem to finish.
<5>	Pero limang minuto ko pa lang na kaharap ang may dalawang paragraph na word document, nawalan na ako ng gana. Kaya ayun, sa Facebook na naman ako napadpad.	but when I had faced the word document for only five minutes, I lost interest already. so there, I ended up on Facebook.
<6>	Unang tumambad sa akin ang mga artikulo tungkol sa pagkakahuli ng dating detinidong pulitikal na si Ericson Acosta. Kalalaya lamang niya, pero balik kulungan na naman ang dating Kultura editor ng Kule.	the article about the capture of former political detainee Ericson Acosta first presented to me. he had just been released, but the former culture editor of Kule is back in prison again.
<7>	Idol ko siya hindi lang dahil sa husay magsulat kundi dahil din sa galing niyang magsulat at umawit ng sarili niyang mga kanta.	he is my idol not just for his skill in writing but also for his skill in writing and singing his own songs.
<8>	Bukod sa kanya hinuli rin ng mga berdugong pulis ang mga kasamahan niyang sina Anakpawis Partylist Representative Fernando “Ka Pando” Hicap at—ang lalo kong ikinabahala—kasama rin ang kapwa nating estudyante na si Karl Mae, na nakilala ko sa UP Ugnayan ng mga Manunulat at naging kaklase ko rin dati.	aside from him the executioner police officers also apprehended his two companions Anakpawis party-list representative Fernando "Ka Pando" Hicap and - I was more worried about - our fellow student as well Karl Mae, whom I got to know in the UP Writer's Association and was also a former classmate.
<9>	Palabati siya at palangiti sa tuwing magkakasalubong kami sa daan.	whenever we encounter each other outside he always greets and smiles.
<10>	Nagtungo sa Hacienda Luisita ang grupo para magsagawa ng imbestigasyon sa sistemang “tambiolo” o palabunutang patakaran sa pamamahagi ng lupa sa asyenda ng angkan ng Pangulo at ang pagbawas sa kabuuang lawak ng lupa na matagal na dapat naipamamahagi sa mga magsasaka batay sa nauna nang desisyon ng Korte Suprema.	the group headed to Hacienda Luisita to conduct an investigation on the "lottery" system or lottery scheme of distributing hacienda land of the relatives of the president and the decrease of overall size of land that should have been distributed to the farmers based on an earlier decision by the Supreme Court.
<11>	Hindi ko na mapigilang tuliuyang magalit nang mabasa ko ang komento ng ilang tao tungkol sa pagkakahuli nina Ka Pando at Karl Mae.	I could not help but be completely angry when I read the comments of some people on the capture of ComradePando and Karl Mae.
<12>	Ayon sa mga komento, pribadong lugar daw ang asyenda kaya tama lamang na hinuli sila.	according to the comments, the hacienda is supposedly a private location so it is right that they were apprehended.
<13>	Nanggugulo lamang daw sila at sinasamahan pa ng congressman na ginagamit ang kapangyarihan para lamang makapasok sa isang pribadong lugar.	they were supposedly just causing trouble and were even joined by a congressman who is using his power in order to enter a private property.
<14>	Kung pwede ko lang tawirin ang virtual space para busalan ang mga bibig nila para hindi na nila mapahiya pa ang kanilang mga sarili, ginawa ko na—katulad ng matagal ko nang pangarap na pagbusal sa bibig ni Kris Aquino tuwing magsasalita siya sa telebisyon.	if I could just cross the virtual space to muzzle their mouths so that they will not embarrass themselves, I would have done it - like my long-time goal of muzzling the mouth of Kris Aquino whenever she speaks on television.
<15>	Sa dami ng maliliit na isyu niya sa buhay, halos hindi niya yata makita ang nakagagalit na mga isyung kinasasangkutan ng kanyang angkan.	with the number of minor issues in her life, she almost cannot see the infuriating issues her family is involved in.
<16>	Ilang dekada na nga bang ipinaglalaban ng mga magsasaka ang lupa ng HLI?	how many decades have the farmers fought for the land of HLI?
<17>	Ilang buhay na ang nasawi mula sa hanay ng mga magsasaka dahil sa kalupitan ng estado at ang labis na paggamit ng kapangyarihan at salapi ng pamilya Conjuangco-Aquino?	how many lives have been taken from the ranks of the farmers because of the cruelty of the state and overuse of power and money by the Conjuangco-Aquino family?
