<1>	Dalawa sa 12 fighter jet ng Philippine Air Force darating na sa Biyernes	two of the 12 fighter jets of the Philippine Air Force will arrive on Friday.
<2>	November 24, 2015	November 24, 2015
<3>	Darating na sa Biyernes ang dalawa sa kabuuang 12 FA 50 Golden Eagle fighter jet na binili ng bansa mula sa South Korea.	on Friday two of the 12 in total FA 50 Golden Eagle fighter jets the country bought from South Korea will arrive.
<4>	Makasaysayan ang araw na ito para sa Philippine Air Force (PAF) dahil ito ang unang pagkakataon simula noong 2005 na magkakaroon muli ng fighter jet ang bansa.	this day is historic for the Philippine Air Force (PAF) because this is the first time since 2005 that the country will have fighter jets again.
<5>	“This is historic because this is the first time we will have jet fighters since we decommissioned our jets in 2005.	"this is historic because this is the first time we will have jet fighters since we decommissioned our jets in 2005.
<6>	It will be the first time we will have a supersonic capability,” pahayag ni Air Force spokesperson Col.	it will be the first time we will have a supersonic capability," declared Air Force spokesperson Colonel
<7>	Enrico Canaya.	Enrico Canaya.
<8>	Aabot sa P18.9 bilyon ang ginasta ng gobyerno para sa pagbili nang nasabing mga eroplanong pandigma.	the government spent up to P18.9 billion for buying the said war planes.
<9>	Ang hakbang ay bahagi pa rin ng Armed Forces of the Philippines modernization program.	the step is still part of the Armed Forces of the Philippines modernization program.
<10>	Taong 2005 nang pinagretiro ng PAF ang mga F5 jet nito.	year 2005 was when the PAF retired its F5 jets.
<11>	Ang mga bagong jet ay nakatakdang dumating sa Clark Air Base sa Pampanga sakay ang mga South Korean pilot nito.	the new jets are set to arrive at Clark Air Base in Pampanga carrying its South Korean pilots.
<12>	Bago ang pormal na turnover sa dalawang bagong jet ay dadaan muna ito sa serye ng mga pagsusuri at test flight.	before the formal turnover of the two jets they will first pass through a series of examinations and test flight.
<13>	Ang hakbang na lalo pang palakasin ang pwersa at kakayahan ng AFP ay nagaganap sa gitna ng mainit na usapin tungkol sa agawan ng teritoryo sa West Philippine Sea.	the step to further strengthen the forces and competence of the AFP is happening in the midst of the hot discussion about the territorial issue in the West Philippine Sea.
<14>	Una nang nagkaroon ng mga bagong barko ang Philippine Navy kung saan pinakahuli dito ay ang pagkakaroon ng BRP Ramon Alcaraz at BRP Gregorio Del Pilar bukod pa sa mga landing ship mula naman sa Australia.	earlier the Philippine Navy got new ships wherein the latest of these are getting BRP Ramon Alcaraz and BRP Gregorio Del Pilar aside from the landing ships from Australia.
<15>	Sa katatapos lamang na pagtungo sa bansa ni US Pres. Barack Obama ay ibinalita din nito ang pagbibigay pa ng Amerika ng dalawang karagdagang barko upang mapalakas ang pwersang pandagat ng bansa. - DCR	in the recently finished visit to the country of US President Barack Obama he also reported the gifting of America of two additional ships to strengthen the navy forces of the country. -DCR
