<1>	PWEDE NA RITO SA ATIN	it is now possible here
<2>	KUNG nanood kayo ng opening ceremonies ng Fédération Internationale de Football Association World Cup 2014 kamakailan, mamamangha kayo sa ganda ng pagtatanghal at maiisip n’yo kung gaano kalaki ang ginagastos ng host countries sa pagsagawa ng ganitong event para sa world football competition.	if you watched the opening ceremonies of the Fédération Internationale de Football Association World Cup 2014 recently, you will be amazed by the beauty of the performance and you will wonder how much the host countries spent in holding an event like that for the world football competition.
<3>	Ginagawa ito ng mga bansa tulad ng Brazil dahil malaking bagay para sa pag-unlad ng kanilang bansa ang pandaigdigang atensyon na naibibigay ng mga event tulad nga ng FIFA World Cup.	countries like Brazil do that because the global attention brought by events like the FIFA World Cup is a significant matter for the progress of their country.
<4>	At hindi pwedeng hindi n’yo mapansin ang venue ng mga laro.	and you can't help notice the venue of the games.
<5>	Marangya at malaki ang arena para ma-accommodate and milyon-milyong fans na dumaragsa para manood galing pa sa iba’t ibang parte ng mundo.	the arena is extravagant and big to accommodate the millions of fans who arrived who even came from different parts of the world to watch.
<6>	Kung tutuusin ay alam natin na may potensyal ang mga Filipino sa larong football.	if we consider, we know that Filipinos have a potential in the game of football.
<7>	Naipakita na natin ang galing natin sa sports na ito.	we have already shown our excellence in this sport.
<8>	Pero gustuhin man nating mag-host ng ganitong event, ang unang problema ay ang venue at ang suporta ng pamahalaan.	but as much as we want to host a similar event, the venue and government support is the first problem.
<9>	Mahal ang gagastusin ng gobyerno para sa isang international event na ganito.	the government will spend big for an international event like this.
<10>	Pero ang problema ng venue, palagay ko ay may solusyon na.	but the problem of the venue, I believe there is already a solution.
<11>	Pwede na rito sa atin.	it is now possible here.
<12>	Kaya na ng Pinoy.	the Filipino is already capable.
<13>	Ang Philippine Arena na itinayo ng Iglesia ni Cristo (INC) sa Bocaue, Bulacan, ay pwedeng-pwede nang mag-compete sa mga venue sa buong mundo kung saan pwedeng magdaos ng mga international event kung ganda at modernity ang pag-uusapan.	the Philippine Arena which was built by the Iglesia ni Cristo (INC) in Bocaue, Bulacan, is really capable of competing with venues in the whole world where international events can be held if beauty and modernity are considered.
<14>	May venue na tayo!	we already have a venue!
<15>	Incidentally, ang INC ay magdiriwang ng Centennial Celebration ng kanilang pagkakatatag bilang isang simbahan sa darating na ika-27 ng Hulyo.	incidentally, the INC will celebrate the centennial celebration of its founding as a church on the 27th of July.
<16>	Naitatag ang INC noong July 27, 1914.	the INC was founded on July 27, 1914.
<17>	At ang Philippine Arena ay maaaring maging sentro ng pagdiriwang ng INC sa darating nilang 100th year anniversary.	and the Philippine Arena will be the center of the celebration of the INC on their incoming 100th year anniversary.
<18>	Ang Philippine Arena ay hindi lang pride ng INC kundi pride ng buong bansa.	the Philippine Arena is not just a pride of the INC but also a pride of the whole country.
<19>	Maipapagmalaki na ito ng Pilipinas at inaasahan na magiging venue na ito ng mga mahahalagang pagtitipon at event sa susunod na mga panahon.	the Philippines can be proud of it and it is expected to become a venue of important gatherings and events in the future.
<20>	Ang Philippine Arena ay isang bantayog ng pagpupugay sa tagumpay ng INC bilang isang mahalagang institusyon sa ating bansa.	the Philippine Arena is a landmark honoring the success of the INC as an important institution in our country.
<21>	Nitong mga nakaraang buwan ay sunud-sunod ang kanilang mga medical mission habang palapit sa kanilang malaking selebrasyon.	these past few months they had back-to-back medical missions while their big celebration approaches.
<22>	Mabuhay ang INC.	long live the INC.
<23>	Salamat sa inyong kontribusyon sa pag-unlad ng ating mahal na bayan.	thank you for your contribution to the progress of our beloved nation.
