<1>	Pag-aalis ng Filipino sa Kurikulum ng kolehiyo tinutulan	removal of Filipino from college curriculum was protested against.
<2>	By Tomas U. Santos - August 21, 2014	by Tomas U. Santos - August 21, 2014
<3>	TAHASANG tinutulan ng Unibersidad ang kautusan ng Commission on Higher Education (CHEd) na tanggalin ang Filipino sa kolehiyo bilang pakiki-ayon sa bagong curriculum ng K-12.	the university explicitly protested against the order of the Commission on Higher Education (CHEd) to exclude Filipino in college in accordance with the new curriculum of K-12.
<4>	Bilang pagtugon sa kinakaharap na suliraning pangwika ng bansa hinggil sa pagtanggal ng Filipino sa kolehiyo, nakiisa ang Unibersidad sa pangunguna ng Department of Filipino sa pagdiriwang ng “Buwan ng Wikang Pambansa: Wika ng Pagkakaisa” sa pamamagitan ng pagdaos nito ng Saliksikan 2014 at Tanggol Wika noong ika-4 at ika-6 ng Agosto sa AMV College of Accountancy Multi-Purpose Hall.	as a response to the language problem being faced by the country regarding the exclusion of Filipino in college, the university, led by the Department of Filipino, joined in the celebration of the "Month of National Language" by holding the Research 2014 and Language Rescue on the 4th and 6th of August at the AMV College of Accountancy Multi-Purpose Hall.
<5>	Isang libreng simposyum ang Saliksikan na itinaguyod ng Pambansang Samahan sa Linggwistika at Literaturang Filipino (PSLLF) na naglalayong tipunin at hikayatin ang mga guro, propesor, mag-aaral, iskolar at manunulat sa Filipino na makiisa at makialam sa mga pananaliksik ng iba’t ibang dalubhasa tungkol sa mga pagbabago at ebolusyon ng wikang Filipino.	the Research is a free symposium established by the Pambansang Samahan sa Linggwistika at Literaturang Filipino (PSLLF), which aims to gather and encourage teachers, professors, students, scholars and writers of Filipino to join and be involved in the research of various experts about the changes and evolution of the Filipino language.
<6>	Sa kabilang banda, isang kilusan naman ang Tanggol Wika na may paksang “Tomasino para sa Wikang Filipino at Makabayang Edukasyon” na naglalayong ipaunawa sa lahat ang kasalukuyang isyung pangwika kaugnay ng K-12.	on the other hand, Language Rescue is a movement with the theme, "Thomasian for the Filipino Language and Patriotic Education", which aims to explain the current language issue regarding K-12 to everyone.
<7>	Naging pangunahing paksa sa dalawang talakayan ang pagtutol ng mga dalubwika sa ipinalabas na kautusan ng CHEd na tanggalin ang pagtuturo ng Filipino sa kolehiyo upang magbigay daan sa pagpapaigting ng kaalaman ng mga mag-aaral sa agham, matematika at maging sa teknolohiya.	the protest of linguists against the order released by CHed, which is to exclude teaching Filipino in college in order to give way to the improvement of the knowledge of students about science, mathematics and even technology, became the main topic in the two discussions.
<8>	Isa itong paghahanda para sa darating na integrasyon ng mga bansa na kabilang sa Association of Southeast Asian Nations sa 2015.	this is in preparation for the upcoming integration of countries, who are included in the Association of Southeast Asian Nations in 2015.
<9>	Paliwanag ng CHEd, isa itong hakbangin na kinakailangan upang madaling makasabay sa ragasa ng globalisasyon ang mga Filipino.	explained by CHEd, this is a step that is needed for Filipinos to easily cope with the surge of globalization.
<10>	Tutol naman ni Melania Abad-Flores, propesor ng Filipino sa University of the Philippines-Diliman (UP-Diliman), dapat alalahanin na hindi lamang pulos mabuti ang dulot ng globalisasyon sapagkat nagdudulot ito ng pagkawala ng sariling pagkakakilanlan ng isang bansa sa pamamagitan ng pag-usbong ng ideyolohiyang dayuhan.	as protested by Melania Abad-Flores, professor of Filipino in the University of the Philippines-Diliman (UP-Diliman), it should be remembered that globalization does not only bring benefits because it makes a country lose its own identity with the rise of foreign ideologies.
<11>	“Ang liit na nga ng Filipinas, kalat-kalat pa tayo. Wala na rin tayong konsepto ng ‘bansa’, tapos lalamunin pa tayo ng konseptong globalisasyon,” ani Flores.	"the Philippines is already small, and we are also scattered. we already have no concept of being a 'country', then we will be swallowed by the concept of globalization," said Flores.
