<1>	Hindi kailangan si Pangilinan sa BuCor	Pangilinan is not needed in BuCor
<2>	DAHIL ilang buwan nang wala ang direktor ng New Bilibid Prisons (NBP) na si retired Gen. Gaudencio Pangilinan, maraming kababalaghan na naman ang nagaganap sa nasabing pambansang piitan na nasa Muntinlupa.	because the director of the New Bilibid Prisons (NBP) Retired General Gaudencio Pangilinan, has been away for months, there are many mysterious happenings in the said national prison in Muntinlupa.
<3>	Sabagay, kung noon ngang nandoon si Pangilinan ay hindi mapigil ang mga katiwalian at korapsyon, ngayon pa kayang on-leave ito?	anyway, even if Pangilinan was there, the anomaly and corruption could not be stopped, what about now that he is on leave?
<4>	Natural, tuloy-tuloy ang pagpasok ng epektos sa NBP tulad ng droga at sariwang laman o mga babaeng nagbebenta ng panandaliang aliw.	naturally, the entry of paraphernalia in NBP is continuous such as drugs and fresh meat or women selling momentary pleasures.
<5>	Sino naman kaya ang magpapakana ng mga ganitong gawain?	who is the mastermind of this kind of activity?
<6>	Siyempre, ang mga dating nakikinabang na sa mga gawaing pinagkakakitaan ng limpak-limpak na salapi ng mga opisyal at tauhan ng BuCor.	of course, the ones who used to benefit from the activities in which officials and members of the BuCor profit a lot of money from.
<7>	Ayon sa ilang text message na galing sa mga preso mismo, mga empleyado ng piitan ang gumagawa ng katarantaduhan dito.	according to some text messages, from the inmates themselves, the employees of the jail are making foolishness here.
<8>	Kayang-kaya raw nilang palusutan si Justice Secretary Leila De Lima na hindi naman “24-oras” na nakatingin sa kanila para “mag-patrol.”	they can easily escape from Justice Secretary Leila de Lima who is not watching them for 24 hours to patrol.
<9>	Bakit naman kasi ipinagpipilitan ni Pang. Benigno Aquino III na huwag tanggalin si Pangilinan sa puwesto nito gayung hindi naman siya epektibo rito?	and why President Benigno Aquino is forcing not to remove Pangilinan from his position when he is not effective here?
<10>	Marami siyang kapalpakang nagawa sa ahensiya na kanyang pinagkakitaan kaya laging mainit siya sa mata ng media.	he has done a lot of mistakes in the agency where he is gaining profit from, so he is also a hot item in the eyes of the media.
<11>	Kung si dating Philippine Drug Enforcement Agency director Undersecretary Jose Gutierrez ay nagawa niyang puwersahang magbitiw, bakit hindi niya ito kayang gawin kay Pangilinan?	if former Philippine Drug Enforcement Agency Director Undersecretary Jose Gutierrez was made to forcibly resign, why could he not do it to Pangilinan?
<12>	Hindi naman totoong napakalaki ng nagawa nito para manalo siya noong nakaraang halalan.	it is not true that he has done so much to make him win in the previous election.
<13>	Kahit paimbestigahan, hindi lang naman paglaganap ng droga at prostitusyon ang lumala sa kulungan nang maupo siya sa puwesto kundi maging ang katiwalian tulad ng pagbili ng kung ano-anong kasangkapan, pagpabor sa catering services at maging ang paglilipat ng mga preso sa mga kolonya ay ginawang paraan upang pagkaperahan.	even if investigated, it is not only the widespread of drugs and prostitution which have worsened in jail when he sat on the position but also corruption such as the purchase of whatever instruments, favoring catering services and even the transfer of inmates to the colonies are done to be profited from.
<14>	Nabibigyang pabor noong panahon ni Pangilinan ang mga kaibigan niya at kakilala.	the friends and acquaintances of Pangilinan were given favors during his time.
<15>	Hindi ba’t noong pag-upo pa lang niya ay ipinamahala na niya sa kanyang dating kaklase na si Col. Rolando Maclang ang pakikipag-usap sa mga mayayamang Chinese na pawang nakapiit sa pambansang kulungan dahil sa kaso ng droga?	upon taking his seat, didn't he assign to his former classmate Colonel Rolando Maclang the negotiation with the rich Chinese who are all imprisoned in the national jail because of drug cases?
<16>	Ipinatapon nila ang mga preso sa malalayong kolonya at sa bandang huli ay nakipag-usap sila upang makipag-areglo sa kanila para mabalik sa Muntinlupa.	they sent other prisoners to far colonies and in the end, they pleaded to make an arrangement to them to be brought back to Muntinlupa.
<17>	Kaya naman, hindi lang barya-baryang pera ang napunta sa kanilang bulsa kung hindi milyones talaga.	and so, not only coins of money went to their pockets but millions.
<18>	Pinatulan din nila ang konting pera ng mga presong may kakayahang magtungo sa opisina ni Maclang, itinalagang ni Pangilinan na kanyang kanang kamay, kapalit ng special treatment o kaluwagan sa kulungan.	they also took the small money of the prisoners who have the ability to go to the office of Maclang, appointed by Pangilinan as his right hand, in exchange of special treatment or freedom in jail.
<19>	Kaya nga nabuking na nakalalabas-pasok sa kulungan si Rolito Go upang magsugal sa kung saan-saang casino sa Metro Manila at maging sa labas nito.	it was exposed that Rolito Go can go out and enter the jail to gamble wherever casino in Metro Manila and even outside it.
<20>	Pati nga mga pamilya ng preso na dumadalaw ay kailangtang maglagay sa mga bantay at maging a mga mayores na tinokahan din ng “patong”ng mga opisyal ng pambansang kulungan.	even the families of the prisoners who are visiting need to put a guard and even the mayors are delegated by the officials of the national jail to get an interest.
<21>	Kaya nga panahon na upang matigil ang mga ganitong maling gawain sa kulungan.	so it is already time to stop these kinds of wrongdoings in jail.
<22>	Kailangang magtalaga ng opisyal na may dibdib upang pigilin ang katiwalian at kayang gampanan ng tungkulin kahit pa may masagasaan sa gagawing mga pagbabago sa BuCor.	needs to appoint an official who has a heart to stop the corruption and can act on his duty even if there will be some who would be crossed over in the change to be done in the BuCor.
