<1>	63 magsasaka ng Bataraza, Palawan, nabiyayaan ng sariling sakahan	63 farmers of Bataraza, Palawan, granted their own farm land
<2>	August 25, 2016 Leila B. Dagot	August 25, 2016 Leila B. Dagot
<3>	PUERTO PRINCESA, Palawan, Agosto 25 (PIA) --- Tinanggap kamakailan ng mga magsasaka ng Barangay Marangas sa Bataraza, Palawan ang Certificates of Land Ownership Award (CLOA) mula sa Department of Agrarian Reform (DAR).	Puerto Princesa, Palawan, August 25 (PIA) - the farmers of Barangay Marangas in Bataraza, Palawan recently received the Certificates of Land Ownership Award (CLOA) from the Department of Agrarian Reform (DAR).
<4>	Ito ay matapos na magtagumpay ang DAR na maipasa sa 63 mga magsasaka ang pag- aari sa 43 ektaryang lupain na dati ay sa Agro-Marine Industrial Corporation na nasa ilalim ng Comprehensive Agrarian Reform (CARP).	this was after DAR succeeded to pass to the 63 farmers the ownership of the 43 hectares of land, which was formerly owned by the Agro-Marine Industrial Corporation, under the Comprehensive Agrarian Reform (CARP).
<5>	“Para kaming nabunutan ng tinik, parang imposible, parang isang panaginip na masasaka na namin ang lupang ibinigay ng gobyerno sa amin”, ani Allan Bello, Presidente ng Boli Ponti Agrarian Reform Beneficiaries’ Association (BPARBA).	"like a thorn was pricked out of us, seemed impossible, like a dream that we can finally farm the land given by the government to us," said Allan Bello, President of the Boli Ponti Agrarian Reform Beneficiaries' Association (BPARBA).
<6>	Ang Asosasyon ay binuo ng mga magsasaka na ang pangunahing hangarin ay maigiit sa gobyerno na maibigay sa kanila ang pag-aaring sakop ng CARP.	the Association is composed of farmers whose primary wish is to be asserted in the government that the ownership covered by CARP be given to them.
<7>	Nito lamang Hulyo 28 hanggang 29, tinungo ng mga opisyales ng DAR ang lugar kasama ang tropa ng Philippine National Police (PNP), Marine Battalion Landing Team (MBLT) 12 at ilang personnel ng Commission on Human Rights (CHR) upang pangunahan ang mga benepisyaryong magsasaka at maka-puwesto ng ligtas sa nasabing lupain.	only this July 28 until 29, DAR officials went to the places along with the troops of the Philippine National Police (PNP), Marine Battalion Landing Team (MBLT) 12 and few personnel of the Commission on Human Rights (CHR) to lead the farmer beneficiaries and to settle safely in the said land.
<8>	Sinimulan din agad ng mga magsasaka ang pagtatayo ng pansamantalang tirahan sa lugar matapos na maipasa sa kanila ang pagmamay-ari ng lupain na naigawad ng gobyerno.	the farmers immediately started the building of temporary shelter in the place after the ownership of the land is passed to them which is granted by the government.
<9>	Ayon sa DAR, sa kabuoang 206 ektaryang lupain sa ilalim ng CARP alinsunod sa Republic Act 6657, nasa 193 ektarya na ang naipamamahagi sa 151 na mga magsasakang benepisyaryo.	according to DAR, in the total of 206 hectares of land under CARP, in accordance to Republic Act 6657, about 193 hectares is already distributed to the 151 farmer beneficiaries.
<10>	Ang iba pang bahagi ng lupain ay natukoy na hindi angkop para sa agrikultura.	the other part of the land is determined as inappropriate for agriculture.
<11>	(LBD/PIAMIMAROPA-Palawan)	(LBD/PIAMIMAROPA-Palawan)
