<1>	Si Jojo at si Mar	Jojo and Mar
<2>	AMBA’S BRIEFS Ni Roy “AMBA” Seneres	Amba's briefs by Roy "AMBA" Seneres
<3>	DALAWANG taon na lang at magkakaroon na naman tayo ng bagong Presidente.	two more years and we will have a new President.
<4>	Lumalabas na si Jojo Binay at Mar Roxas lamang ang may mga political machinery na maaaring makapagluklok sa kanila sa Malacañang.	it appears that only Jojo Binay and Mar Roxas have the political machinery that can seat them in Malacañang.
<5>	Pero ang dapat itanong ng taumbayan ay saan ba manggagaling ang campaign funds ni Jojo at Mar?	but what the people should ask is where will the campaign funds of Jojo and Mar come from?
<6>	Tinatayang P3 billion ang kakailanganin ng isang kandidato sa pagka-presidente.	it is estimated that a candidate for the presidency needs 3 billion pesos.
<7>	Bilyonaryo ba si Jojo?	is Jojo a billionaire?
<8>	Maraming nagsasabi ng yes.	many are saying yes.
<9>	Pero saan nanggaling ang yaman niya?	but where did his wealth come from?
<10>	Bago siya na­ging OIC mayor ng Makati, iisa lang ang sasakyan niya — Volkswagen na kakarag-karag.	before he became OIC mayor of Makati, he only had one car, a beat-up Volkswagen.
<11>	Si Mar ay mayaman kuno dahil apo siya ni Don Amado Araneta na may ari ng Araneta Coliseum at mga malalapad na lupain.	Mar is allegedly rich because he is the grandson of Don Amado Araneta who owns Araneta Coliseum and wide tracks of land.
<12>	Siya ay isang Pilipino na may dugong Español.	he is a Filipino with Spanish blood.
<13>	Saan kaya nagmula ang kayamanan ni Don Amado?	where did the wealth of Don Amado come from?
<14>	Biniyayaan ba siya o ang kanyang mga ninuno ng mga malalawak na lupain ng mga naghaharing uring Español bago ang Pilipinas ay naging malaya dahil sa kabayanihan nina Bonifacio at iba pa?	was he or his ancestors given wide areas of land by the ruling Spaniards before the Philippines became free because of the heroism of Bonifacio and many others?
<15>	Ang ipinagtataka ko, matapos patalsikin ng ating mga bayani ang mapang-aping Spanish colonial government, ang mga nagsiyaman ay mga may dugong Español na sina Araneta, Ortigas, Zobel, Ayala, Aboitiz at iba pa, sa halip na mga pamilyang Pinoy.	what baffles me, after our heroes overthrew the oppressive Spanish colonial government, those who became rich were people with Spanish blood, Araneta, Ortigas, Zobel, Ayala, Aboitiz and others, instead of Filipino families.
<16>	Kaya ang 2016 elections ay labanan ng dalawang mayayaman.	so the 2016 elections is the battle of two rich people.
<17>	Ang isa ay malaking question mark kung saan nagmula ang kayamanan, at ‘yung isa naman ay galing sa lolong Kastilaloy.	the other has a big question mark on where his wealth came from, while the other one came from his Spaniard grandfather.
<18>	Pero sigurado na ang mga malalaking negosyante sa Pilipinas tulad nina Lucio Tan, Henry Sy at iba pang mga hari ng contractualization ay magbibigay din nang malaking kontribusyon sa dalawang presidentiables.	but it is certain that major businessmen in the Philippines like Lucio Tan, Henry Sy and other kings of contractualization will also give a huge contribution to the two presidential candidates.
<19>	Malamang, may mga donation din na manggagaling sa mga gambling lord, drug lord at iba pa.	donations will also likely come from gambling lords, drug lords and others.
<20>	Kaya tuloy ang contractualization, jueteng at pagpapalaganap ng droga.	so, contractualization, jueteng and proliferation of drugs will continue.
<21>	Sino man ang manalo sa dalawa, ang bayan ang talunan.	whoever wins from the two, is the loss of the country.
