<1>	Disaster Preparedness ng Antipolo City, pinapalakas ng pamahalaang lungsod at mga barangay	disaster preparedness of Antipolo City, bolstered by the provincial government and barangays.
<2>	August 31, 2016	August 31, 2016
<3>	LUNGSOD NG ANTIPOLO, Rizal, Agosto 31-- Nagsagawa kamakailan ang pamahalaang lungsod ng Antipolo ng “Basic Orientation on Health Emergency Management Seminar” noong Agosto 19, 2016 sa Antipolo City Hall.	City of Antipolo, Rizal, August 31 - the city government of Antipolo recently held a "basic orientation on health emergency management seminar" on August 19, 2016 in Antipolo City Hall.
<4>	Dinaluhan ng mahigit 100 opisyales mula sa 16 barangay ang seminar na ang pangunahing layunin ay mai-handa ang mga mamamayan sa anumang sakunang darating lalo na ngayong panahon ng tag-ulan.	the seminar that aims to prepare the people for any incoming calamity this rainy season was attended by more than 100 officials from 16 barangays.
<5>	“Prayoridad po natin ang kaligtasan ng bawat isa kung kaya’t walang sawa po tayong nagbibigay ng libreng seminar upang mas palawigin ang ating kaalaman sa mga paghahandang dapat natin isaalang-alang sa panahon ng kalamidad.	"the safety of each one is our priority that is why we tirelessly offer a free seminar to widen our knowledge on the preparations we must consider during periods of calamity.
<6>	Tiyakin po natin na ligtas ang ating mga tinutuluyan at malayo sa mga pagguho ng lupa para na rin po sa seguridad natin at ng ating mga mahal sa buhay,” pahayag ni Antipolo City Mayor Jun Ynares.	let us ensure that our accommodations are safe and far from landslides for the safety of ourselves and of our loved ones," said Antipolo City mayor Jun Ynares.
<7>	Binigyang diin sa seminar ang responsibilidad ng mga barangay na ipaalam agad sa kinauukulan ang nangyaring sakuna upang mabigyan ng mabilis at nararapat na aksyon.	the responsibility of the barangay to immediately inform the authorities of accidents that happened in order to be given quick and appropriate action was emphasized in the seminar.
<8>	Pinaalalahanan din ang mga barangay na tungkulin nila na siguraduhing ligtas, malinis at maayos ang mga evacuation area na pansamantalang paglalagian ng mga biktima sa panahon ng kalamidad.	barangays were also reminded that it is their responsibility to ensure that evacuation areas and temporary accommodations of the victims during periods of calamity are safe, clean and orderly.
<9>	Tinukoy din ang importansya ng pagkakaroon ng sapat na pagkain at inumin at ang pagpapanatili ng proper hygiene upang makaiwas sa sakit.	also pointed out were the importance of having enough food and drink and maintaining proper hygiene to avoid illnesses.
<10>	Ipinaliwanag sa programa ang mga gampanin ng mga opisina sa panahon ng emergency at ang kahalagahan ng mabilis at maaayos na koordinasyon ng mga barangay sa City Disaster Risk Reduction and Management Office (CDRRMO), City Social Welfare and Development Office (CSWD), City Health Office (CHO).	the program explained the roles of the offices during emergency periods and the importance of quick and orderly coordination of the barangays with the City Disaster Risk Reduction and Management Office (CDRRMO), City Social Welfare and Development Office (CSWD), City Health Office (CHO).
<11>	Tiniyak naman ng CDRRMO na nakahanda ito anumang oras na tumugon sa mga rescue operations.	the CDRRMO ensured that it is ready anytime to respond to rescue operations.
<12>	Nakaantabay rin ang CSWD at CHO sa pangangasiwa ng mga relief goods at mga gamot na kakailanganin ng mga biktima. (ANTIPOLO PIO/PIA-Rizal)	the CSWD and CHO are also on standby to manage the relief goods and medicine needed by the victims (Antipolo PIO/PIA-Rizal)
