<1>	Ombudsman: Makati most transparent city	Ombudsman: Makati most transparent city
<2>	December 13, 2014	December 13, 2014
<3>	Written by Atty.	written by Attorney
<4>	Jay De Castro Published in Opinion Read: 1170 NITONG Huwebes, kinilala ng Office of the Ombudsman ang administrasyon ni Mayor Junjun Binay sa matagumpay nitong pag-alis o pagbawas ng “red tape” sa pagtatayo ng negosyo sa Makati, na nagbigay sa investors rito ng madali at mabilis na pagrehistro ng mga bagong negosyo o renewal ng business permit sa lungsod.	Jay De Castro published in Opinion Read: 1170 this Thursday, the Office of the Ombudsman identified the administration of Mayor Junjun Binay for its success to eradicate or minimize "red tape" in setting up a business in Makati, that gave its investors an easy and fast registration of new businesses or renewal of business permits to the city.
<5>	Binigyan ng Ombudsman ng Blue Certification o piinakamataas na grado ang Makati, bilang pagkilala sa mabilis, maayos at walang “lagay” na pagbibigay nito ng business registrations at permits, sa mga bagong nagnenegosyo sa lungsod, na tinuturing na primerang financial district ng bansa.	the Ombudsman gave a Blue Certification or the highest grade to Makati, as recognition for a fast, systematic and no bribery in giving out business registrations and permits to those who are venturing into business in the city, considered as the primary financial business district in the country.
<6>	Ang award ay binigay ng PACPO (Public Assistance and Corruption Prevention Office) ng Ombudsman, na nag-aaral at humahanap ng solusyon sa mga katiwalian, kurapsyon at maling pamamaraan, kaugnay ng pagtatayo ng negosyo, upang ito’y mawala at maging maayos at matagumpay ang pagnenegosyo sa bansa.	the award was given by PACPO (Public Assistance and Corruption Prevention Office) of Ombudsman that studies and seeks for a solution to anomalies, corruption, and wrong system regarding setting up businesses, so it can be eradicated and have a decent and successful business venture in the country.
<7>	Sa tatlong lungsod na kinumpara ng Ombudsman (Taguig, Marikina at Makati), ang siyudad na dating pinamunuan ni Vice-President Jejomar Binay, ang napiling pinaka-episiyente sa larangan ng pagbibigay ng mga kaukulang lisensya sa mga baguhang nagnenegosyo sa pinakamayamang lungsod sa Metro Manila.	in the three cities compared by Ombudsman (Taguig, Marikina, and Makati), the city that was formerly governed by Vice-President Jejomar Binay, was chosen as the most efficient in issuing relevant licenses to new businesses in the richest city in Metro Manila.
<8>	Ang naging batayan ng Ombudsman sa pagpili sa Makati ay, information technology, level of customer convenience o satisfaction at mga sistema nito na naggagarantiya na pag-apruba ng lisensya, kung saan ang mga investor ay hindi kinakailangang maglagay sa mga tinatawag na “fixer”.	the bases by the Ombudsman in choosing Makati are information technology, level of customer convenience or satisfaction and its system that guarantees approval of license, wherein investors do not need to bribe fixers.
<9>	Ibinigay ni Assistant Ombudsman Evelyn Baliton ang Blue Certification Award kay Mayor Junjun Binay sa opisina nito sa Makati, kung saan sinabi ng alkalde na “transparent ang pagnenegosyo sa Makati” at natutuwa siya sa pagkilala ng mismong Ombudsman sa “maayos at walang halong kurapsyon na pagtatayo ng negosyo sa kanilang lungsod.”	Assistant Ombudsman Evelyn Baliton gave the Blue Certification Award to Mayor Junjun Binay in its office in Makati, where the mayor said that doing business in Makati is transparent and he is happy on the recognition by the Ombudsman itself about its systematic and no corruption involved in putting up a business in their city.
<10>	Ang maayos na pagtatayo ng negosyo sa lungsod ng Makati, na nagdulot ng kaunlaran rito, ay bunga na rin ng masipag at matapat na pagtratrabaho ng Administrador nito, na si Atty. Jun Mendoza, na walang sawang naglilingkod, kasama si Mayor Junjun, para sa kapakanan at kabutihan ng mga mamamayan ng kanilang lungsod.	the systematic business creation in the city of Makati that brings it progress is also the fruit of the diligence and honest work of its administrator, Attorney Jun Mendoza, who serves tirelessly, together with Mayor Junjun, for the welfare and goodness of the people in their city.
<11>	* * *Kaugnay nito, ang nasabing award na ibinigay ng Ombudsman sa lungsod, ay masasabing magandang balita sa mga mamamayan ng Makati, sa dahilang alam ng lahat na nitong mga nagdaang buwan ay walang humpay na binatikos ng tatlong senador, sina Alan Peter Cayetano, Antonio Trillanes at Koko Pimentel, si Vice President Jojo Binay, tungkol sa di-umano’y mga maanomalyang kontrata o pagnenegosyo sa Makati.	- in relation to this, the said award that was given by the Ombudsman to the city, can be regarded as a positive news for the people of Makati, because as everyone knows Vice President Jojo Binay was criticized unabatedly by three senators, Alan Peter Cayetano, Antonio Trillanes and Koko Pimentel in the past months about the alleged anomalous contracts and business ventures in Makati.
<12>	Hindi kaila sa ating mga kababayan, na simula’t simula sa tuwing mapag-uusapan ang 2016 presidential elections, ay si VP Binay na ang bukod tanging nangunguna sa survey ng presidentiables.	it is not unknown from our fellow countrymen that ever since, every time the 2016 presidential elections is discussed, VP Binay is the only one leading the presidential surveys.
<13>	Dahil rito, ang dalawang senador ng Nacionalista Party, sina Cayetano at Trillanes, na nagpahayag ng kanilang intensyong tumakbo bilang Pangulo at Pangalawang Pangulo sa 2016 ay hindi nag-aksaya ng panahon upang iangat ang kanilang pangalan sa pamamagitan ng pagsira sa pangalan ni VP Jejomar Binay.	because of this, two of the senators of the Nacionalista Party, Cayetano and Trillanes, who signified their intention to run for president and vice president in 2016 did not waste time to let their name be known by ruining the name of VP Jejomar Binay.
<14>	Batay sa resulta ng mga kalilipas na survey, maaaring sabihin na nagtagumpay ang nasabing tatlong senador sa kanilang paninira kay VP Binay, sapagkat nabawasan o bumaba ang rating ng Pangalawang Pangulo.	based on the results of the previous surveys, it can be said that the three senators were successful in their ruination of VP Binay, because there was a reduction or decrease in the rating of the Vice President.
<15>	Sa kabila nito, mayroon ring pinatunayan ang kanilang paninira -- hindi tumaas o nag-improve ang kanilang ratings sa mga nagdaang survey ng SWS at Pulse Asia, sa katunayan silang kapwa nangunguna sa paninira kay VP Binay ay kapwa nakakuha ng pinakamababang pwesto o kulelat sa kandidato para Presidente at Bise-Presidente sa 2016.	on the other hand, their vilification also proved something. their rating did not increase or improve in the previous surveys of SWS and Pulse Asia, in fact both of them who leads the defamation of VP Binay, got the lowest positions as candidates for president and vice-president in 2016.
<16>	At ang nanatiling nangunguna pa rin sa latest survey ng presidentiables sa 2016 ay si VP Jejomar Binay.	VP Jejomar Binay still remained ahead in the latest survey for president candidates in 2016.
<17>	Mahigit isa at kalahating taon pa ang presidential election sa May 2016.	the presidential election in May 2016 is still more than a year and a half away.
<18>	Pagdating nito ay magsasawa na ang ating mga mamamayan sa pakikinig sa mga bintang laban kay VP Binay, sapagkat alam na nila na ang mga paninirang ito ay mula sa bibig ng mga kandidato sa 2016 at samakatuwid ay maliwanag na pamumulitika lamang.	when it comes, our people would tire of hearing about the accusations against VP Binay, because they know that these accusations are from the mouths of the candidates in 2016 and therefore, it is clearly just politicizing.
<19>	Pagsapit ng panahong iyon, ang mapag-uusapan na lamang ay ang mga istatistika, tulad mg ibinigay na award ng Ombudsman, na nagpapatunay na walang halong kurapsyon ang magnegosyo sa Makati at dahil rito, ito ang pinakamayamang lungsod sa buong Pilipinas.	when that time comes, what will be talked about are the statistics like the award given by Ombudsman, which proves that no corruption is involved to have a business in Makati and because of this it is the richest city in the whole Philippines.
