<1>	Filipinos have no regard for history - Ang Bahay na Pula	Filipinos have no regard for history - the Red House
<2>	Oo tama yan!	yes that is correct!
<3>	Wala talaga yata tayong pakialam sa ating kasaysayan kaya kahit masira ang mga bagay na may kaugnayan dun ay okay lang.	it seems that we really have no regard for our history so it is just all right if things related to it are destroyed.
<4>	Sa totoo nga eh kahit yung mga ginawang kahayupan sa panahon ni Marcos ay tila nakakalimutan na natin.	in fact it seems we have forgotten the monstrosities done during the time of Marcos.
<5>	Anyway, ang post naming ito ay ukol sa BAHAY NA PULA sa San Ildefonso, Bulacan na sa kasalukuyan ay tuluyan ng winawasak at mawawala sa ating paningin.	anyway, this post of ours is about the Red House in San Ildefonso, Bulacan that at present is eventually being destroyed and will disappear from our sight.
<6>	Bakit ito mahalaga?	why is it important?
<7>	Ating panuorin ang video na ito para malaman natin kung ano nga ba ang Bahay na Pula.	let us watch the video so we can find out what the Red House really is.
<8>	Bahay na Pula...	Red House ...
<9>	nakakalungkot isipin na dahil sa patuloy na pagsira ng iba sa Bahay na Pula ay unti-unti na itong maglalaho, minarapat kong i-upload ang videong ito para maala-ala natin kung gaano kahalaga ang Bahay na Pula sa kasaysayan ng ating bayan.	it is saddening to think that because of others' continuing destruction of the Red House it will gradually disappear, I thought it appropriate to upload this video so we can remember how important the Red House is to the history of our nation.
<10>	(video credit Donelle Marie D. Agudo and Evelyn Agudo)	(video credit Donelle Marie D. Agudo and Evelyn Agudo)
<11>	Posted by Pher Pahati on Sunday, December 6, 2015	posted by Pher Pahati on Sunday, December 6, 2015
<12>	Paano naatim ng pamahalaang bayan ng San Ildefonso o maging ng panlalawigang pamunuan na mawala ang isang makasaysayang lugar na tulad nito.	how can the municipal government of San Ildefonso or even the provincial government allow for a historical location like this to vanish?
<13>	Wala ba silang gagawin para pigilan at pangalagaan ito.	will they do nothing to stop or care for it?
<14>	Hindi ba may imminent domain naman ang estado na pwedeng gamitin.	doesn't the state have an imminent domain that can be used.
<15>	Sabi nga ng ating kasamahan mula sa blog na Republika Natin, "TAYO NA GUMAWA NG HAKBANG PARA SA ATING BAYAN".	like what our companion from the blog Republika Natin says, "come let us take action for our country".
<16>	Pagmasdan ang nakakaawang itsura na nito ngayon.	observe its pitiful appearance now.
<17>	Nakakagigil hindi ba?	doesn't it make you grit your teeth?
<18>	Sana naman ay ishare ninyo at maparating sa kinauukulan ang bagay na ito.	hope that you will share this issue and make it known to the authorities.
