<1>	Sabado, Hulyo 26, 2014	Saturday, July 26, 2014.
<2>	TUNAY NA KAYAMANAN (Revised / Reposted): Reflection for the 17th Sunday in Ordinary Time Year A - July 27, 2014 - YEAR OF THE LAITY	true wealth (revised / re-posted): reflection for the 17th Sunday in ordinary time year a - July 27, 2014 - year of the laity.
<3>	Ano kaya ang mangyayari sa 'yo kapag sinabing nanalo ka ng 50 million pesos sa lotto?	what will happen to you if you are said to have won 50 million pesos in the lotto?
<4>	Malamang hihimatayin ka sa tuwa o kung di naman ay aatakihin ka sa puso sa sobrang kagalakan!	you will probably faint from happiness or have a heart attack in extreme joy!
<5>	May isang kuwento na minsan daw ay may isang lola ang walang kaalam-alam na nanalo s'ya sa lotto ng 50 milyong piso.	there is a story that once there was a grandmother who had no idea that she won 50 million pesos in the lotto.
<6>	Ang problema ng kanyang mga kasambahay ay kung paano nila ito sasabihin sa kanya sa kadahilanang may sakit siya sa puso at matanda na!	the problem of her housemates was how to tell her because she has a heart ailment and is already old!
<7>	Naisip nilang imbitahan ang kanilang kura-paroko dahil kaibigang matalik ito ng kanilang lola at isa pa ay matagal din siyang naglintgkod sa simbahan bilang isang Legion of Mary.	they thought of inviting their parish priest because he was a close friend of their grandmother and another thing was she has been serving in church as a Legion of Mary for a long time.
<8>	Hiniling nila sa pari na s'ya na ang magbalita sa kanilang lola sa maingat na paraan na hindi niya ikabibigla.	they requested the priest to break the news to their grandmother in a careful manner that will not shock her.
<9>	Sumangayon naman ang pari at isang gabi ay dumalaw ang pari sa bahay at kinausap ang matanda: "Lola, kamusta na ang lagay ninyo?"	the priest agreed and one night he came to their house and spoke to the elder: "grandma, how are you?"
<10>	Sagot ng matanda: "Mabuti naman po padre..."	the elder answered: "I am well, father..."
<11>	At nagkuwentuhan sila ng matagal.	and they chatted for a long time.
<12>	Nang mapansin ng pari na nalilibang na at relax na ang matanda ay tinanong niya ito: "Lola, kung sakaling manalo kayo ng Php 50 million sa lotto...	when the priest noticed that the elder was entertained and relaxed, he asked her: "grandmother, in case you would win 50 million pesos in the lottery ...
<13>	anung gagawin ninyo sa pera?"	what would you do with the money?"
<14>	"Aba padre," sabi ni lola, "kung ako ang mananalo ng 50 million sa lotto ay ibibigay ko ang kalahati sa Simbahan."	"well, father," said the grandmother, "if I would win 50 million pesos in the lotto I would give half to the church."
<15>	Nang marinig ito ng pari ay inatake siya sa puso at namatay! hehehe...	when the priest heard this, he had a heart attack and died! hehehe ...
<16>	Sino nga ba ang di hihimatayin sa gayong kalaking kayamanan?	who would not faint with wealth that is this great?
<17>	Wala naman sigurong taong matino ang pag-iisip ang ayaw yumaman.	possibly, no person in his right mind would not want to get rich.
<18>	Dati rati ang kayamanan, hinuhukay, sinisisid, nilalakbay ng malayo.	long ago, wealth was dug up, dived for, and traveled far for.
<19>	Ngayon siguro mas madali, tumaya ka lang sa lotto o kaya naman ay sumali sa mga contests na may malaking cash price at instant yaman ka na!	today might be easier. you just have to make a bet in the lotto or join contests with a big cash prize and you will instantly become rich!
<20>	Ang talinhaga ng nakatagong kayamanan at mamahaling perlas ay nagsasabi sa atin na dapat ay handa nating isakripisyo ang lahat mapasaatin lamang ang kayamanang nais nating makamtan.	the paradox of hidden wealth and expensive pearls tells us that we should be ready to sacrifice everything just to obtain the treasure that we want to get.
<21>	Hinalintulad ito ni Jesus sa "Kaharian ng Diyos."	Jesus compares this to the "Kingdom of God".
<22>	Kung kaya nating magsakripisyo para sa kayamanang makamundo na nabubulok at nasisira ay dapat gayun din sa mga bagay na espirituwal.	if we can sacrifice for riches that are worldly, which would rot and break, this should also be the case for spiritual things.
<23>	Ang "kaharian ng Diyos" ay ang pagharian tayo ng Kanyang biyaya at mabuhay bilang mga tapat niyang anak.	the "kingdom of God" is for us to be ruled by his blessings and to live as his faithful children.
<24>	Dapat ay matuto tayong magpahalaga sa mga bagay na dapat unahin sa ating buhay.	we should learn to value the things that we should prioritize in our life.
<25>	Kapag ang pagsisimba ay ipinagpapalit mo sa mga lakad mo sa araw ng Linggo ay hindi ka pa handang pagharian N'ya.	if you are trading going to church on Sundays for your errands then you are not yet ready to be ruled by him.
<26>	Kapag sinasabi mong wala akong oras magdasal o gumawa ng mabuti sa iba ay hindi mo pinahahalagahan ang Kaharian ng Diyos sa iyong buhay.	if you are saying I have no time to pray or to do something good for others then you are not giving importance to the kingdom of God in your life.
<27>	Kapag mas mahalaga sa iyo ang mga bagay na materyal kaysa ispirituwal, kapag labis mong pinagtutuunan ng pansin ang iyong katawan at napababayaan mo ang iyong kaluluwa ay malayo ka pa sa paghahanap sa tunay na kayamanan.	if material things instead of spiritual ones are more important to you, when you give too much attention to your body and ignore your soul, then you are still far from looking for true wealth.
<28>	Ano ba ang tinuturing mong kayamanan ngayon sa buhay mo?	what do you consider as wealth in your life right now?
<29>	Ngayong Taon ng mga Layko ay piliin natin ang maging matapang sa mga pagpapahalaga sa ating buhay.	in this year of the laity, let us choose to be brave in giving importance to our life.
<30>	Marahil ay dapat nating unahin ang tamang pagapapahalaga sa ating sarili lalong lalo na sa ating dignidad bilang mga tao.	maybe we should prioritize the right way of appreciating ourselves, especially our dignity as persons.
<31>	Isunod natin ang pagpapahalaga sa ating pamilya.	let us next give importance to our family.
<32>	Hindi natin pinili ang ating pamilya.	we did not choose our family.
<33>	Ito ay regalo ng Diyos sa atin kaya't dapat nating itaguyod ito at mahalin.	this is a gift from God to us, which is why we need to uphold and love it.
<34>	At siyempre, ang pinamakamataas na pagpapahalaga ay ang sa Diyos na nagbigay sa atin ng ating buhay.	and of course, the highest appreciation is towards God, who gave us our life.
<35>	Bigyan natin ng importansya ang ating buhay espirituwal at isabuhay ang ating pananampalataya.	let us give importance to our spiritual life and practice our faith.
<36>	Kaya't kung pagninilayan lamang natin ng mabuti ay makikita natin na may tunay tayong mga kayamanan na dapat nating pinahahalagahan.	so if we would only reflect well, we would see that we have real riches that we should value.
<37>	Piliin natin ang higit na mahalaga sa ating buhay Tandaan mo na kung nasaaan ang kayamanan mo... naroroon ang iyong puso.	let us choose what is most important in our life. remember that wherever your wealth is ... that is where your heart is.
