<1>	Isa pang Krimen ni Palparan	another crime of Palparan
<2>	by Teo S. Marasigan	by Teo S. Marasigan
<3>	August 18, 2014	August 18, 2014
<4>	Talumpating hindi nabigkas sa piket sa harap ng National Bureau of Investigation noong umaga ng 12 Agosto.	speech that wasn't delivered in the picket in front of National Bureau of Investigation last morning of August 12.
<5>	Mga kasama at mga kababayan! May isa pang krimen si dating Major General Jovito Palparan sa sambayanang Pilipino bukod sa napakaraming kaso ng ekstrahudisyal na pagpaslang, pagdukot at iba pang paglabag sa karapatang pantao.	friends and family! Major Genereal Jovito Palparan has another crime to the Filipinos, aside from the many extrajudicial cases of murder, kidnapping, and other violation of human rights.
<6>	At ang krimen na iyan ay nasa paraan kung paano niya ginawa ang mga paglabag sa karapatang pantao. Ginawa niya ang mga ito nang lantaran, bulgaran, para bang inaanunsyo.	and that crime is in line with how he violated human rights. he did this brazenly, and bluntly, almost as if announcing it.
<7>	Darating siya sa isang rehiyon at darami ang mga paglabag sa karapatang pantao doon.	he comes to one region, and the violation of human rights will increase there.
<8>	Pero walang kurap niyang sasabihin, kahit sa harap ng kamera, na hindi ang mga tauhan niya ang pumaslang, na wala ang nawawala sa kampo ng militar, na hindi siya ang may kasalanan.	but he says it without a blink of an eye, in front of a camera, that it wasn't his people who killed, that there were no missing from the military camp, that it wasn't his fault.
<9>	Sa isang interbyu, sinabi niyang nagbibigay lang siya ng “inspirasyon” para sa mga paglabag.	in one interview, he said that he only gives "inspiration" for the violations.
<10>	Wala rin siyang tigil sa pagsasalita para bigyang-katwiran ang mga ito — kasama na ang paniniil sa mga baryo ng karaniwang tao.	he also was unstoppable in giving excuses for this - along with the tyranny in villages of ordinary people.
<11>	Sa isang State of the Nation Address o SONA mismo, pinuri siya ni Gloria Macapagal-Arroyo.	in one State of the Nation Address or SONA, Gloria Macapagal-Arroyo even praised him.
<12>	May panahong naging karaniwan na para sa mga aktibista na makatanggap ng mensaheng text tungkol sa mga kapwa-aktibista na pinakabagong biktima ng pagpatay at pagdukot — magkakasunod sa loob lang ng ilang araw.	there was a time that it became ordinary for activists to receive text messages about co-activists that were recent victims of murder and kidnapping - in consecutive days.
<13>	Naging laman ng midya, lalo na ng alternatibong midya, ang mga larawan ng mga pinaslang at dinukot, minsan kasama ang mga duguang bangkay nila — silang mga nanay, tatay, asawa, anak, kapatid, kaibigan, at kasama sa pakikibaka.	the photos of the murdered and kidnapped; sometimes even with bloody corpse- the mother and father, wife, children, sibling, friend, and co-activists was all over the media, especially the alternative media.
<14>	Mga kasama at mga kababayan! Ininsulto ni Palparan ang sambayanang Pilipino!	friends and family! Palparan is insulting us Filipinos!
<15>	Bawat pagpaslang, pagdukot at paglabag sa karapatang pantao ay pagdura sa mukha ng sambayanan.	every murder, kidnapping, and violation of human rights is a spit to the face of the town.
