<1>	Isulong ang rebolusyonaryong kilusan sa reporma sa lupa	advance the revolutionary movement on land reform
<2>	Partido Komunista ng PilipinasHunyo 11, 2013Translation: Advance the revolutionary land reform movement	Communist Party of the Philippines July 11, 2013 translation: advance the revolutionary land reform movement
<3>	Sa loob ng 25 taon, malinaw na ipinakita ng reaksyunaryong Comprehensive Agrarian Reform Program (CARP) na ito'y isang malaking panlilinlang.	within 25 years, clearly shown by the reactionary Comprehensive Agrarian Reform Program (CARP) that it is a big deceit.
<4>	Patuloy na pinangingibabawan ng atrasado at kontra-kaunlarang uring panginoong maylupa ang ekonomya at pulitika ng Pilipinas.	the economy and politics of the Philippines is continued to be overruled by backward and anti-progressive class of landlord.
<5>	Patuloy na isinasailalim ng mga panginoong maylupa ang milyun-milyong magsasakang PIlipino sa pyudal at malapyudal na pagsasamantala sa pamamagitan ng kanilang mga asyenda at iba pang pyudal na ari-arian.	the landlords continue to subjugate millions of Filipino farmers in feudal and semi-feudal exploitation through their hacienda and other feudal properties.
<6>	Walang ipinagkaiba ang CARP at ang pinalawig na programa nito, ang CARPer, sa Presidential Decree #27 ng diktadurang Marcos at sa lahat ng mga nakaraang huwad na programa sa reporma sa lupa mula pa noong pagsisimula ng estadong neokolonyal.	the CARP has no difference and its expanded program, the CARPer, in Presidential Decree #27 of the Marcos dictatorship and all of the past fake programs on land reform even before the beginning of a colonial state.
<7>	Matapos ang pitong dekada, nananatiling walang lupa ang mga Pilipinong magbubukid at isinasailalim sa matinding pagsasamantala at pang-aapi.	after seven decades, the Filipino farmers remain landless and being subjugated in intense exploitation and abuse.
<8>	Ang CARP at ang lahat ng mga naunang huwad na programa sa reporma sa lupa ay mga proyekto ng panlilinlang ng reaksyunaryong estadong dominado ng mga panginoong maylupa.	the CARP and all of the initial fake programs on land reform are projects of deceit of the reactionary state dominated by landlords.
<9>	Nilalayon lamang nitong balewalain ang laganap na kahilingan sa lupa at apulain ang demokratikong pakikibaka ng masang magsasaka para sa tunay na reporma sa lupa.	it is only aiming to disregard the widespread plea for land and extinguish the democratic struggle of the farmer masses for an authentic land reform.
<10>	Pinatatampok ang pagiging huwad ng CARP ng katotohanang nananatiling hindi nagagalaw at nasa monopolyong kontrol ng malalaking panginoong maylupa ang malalaking asyenda, matapos ang 25 taon ng implementasyon.	covered in the falseness of the CARP is the truth that the huge hacienda remains untouched and in the monopolizing control of big landlords after 25 years of implementation.
<11>	Ibayo pa itong pinatitingkad ng katotohanang kasalukuyang pinangangasiwaan ang reaksyunaryong estado ni Benigno Aquino III, inapo ng angkan ng mga panginoong maylupang Cojuangco.	this is intensely highlighted of the truth that the reactionary state is currently governed by Benigno Aquino III, grandson of the Conjuangco landlords.
<12>	Ang Hacienda Luisita, ang pinakamatingkad na simbolo ng pyudal na paghahari, ay nananatiling nasa kontrol ng mga Cojuangco sa pamamagitan ng panlilinlang, burukratikong manipulasyon at armadong panunupil.	the Hacienda Luisita, the most brightly colored symbol of feudal kingship, remains in the control of the Cojuangcos through deceit, bureaucratic manipulation and armed suppression.
<13>	Patuloy na dinodominahan ng malalaking asyenda ang kanayunan.	the villages are continued to be dominated by huge haciendas.
<14>	Nagtatampisaw sa maluhong pamumuhay ang mga pamilyang Aquino, Roxas, Araneta at iba pang pamilya ng malalaking panginoong maylupa.	the families Aquino, Roxas, Araneta and other families of huge landlords are wading through luxurious lifestyles.
