<1>	Rich congressman at ang ‘grandmother of all scams’	rich congressmen and the grandmother of all scams
<2>	SINO ba itong kongresman na umaktong ahente ng dalawang higante ngunit dayuhang kompanya na gustong kumorner sa President’s Bridge Program o PBP?	who is this congressman who acts as agent of the two giant but foreign companies who wanted to corner the President's Bridge Program or PBP?
<3>	Ito ‘yung kongresman na panay ang banat o paninira sa isang kompanyang British noong nakaraang administrasyon para makorner ng kanyang dalawang kompanya ang multi-bilyong halaga ng mga proyekto sa ilalim ng PBP.	this is the congressman who endlessly criticized and destroyed a British company in the past administration for his two companies to surround the multi-billion worth of projects under the PBP.
<4>	Gayundin ang mga proyektong sa Greater Maritime Access o GMA.	as well as the projects in Greater Maritime Access or GMA.
<5>	Grandmother of all scams	grandmother of all scams
<6>	Pero ngayon, sakit sa ulo ang inaabot ng kongresman dahil sa sinabi ni Senador Serge Osmeña na sangkot ang dalawa niyang kompanya sa anomalya at tinawag pa na “grandmother of all scams” ito.	but now, the congressman encountered a headache because Senator Serge Osmeña said that his two companies were involved in anomaly and even called it "the grandmother of all scams".
<7>	Binubuo ang mga proyekto sa ilalim ng PBP ng paggawa ng mga tulay at sa Greater Maritime Access ng paggawa ng mga pier para sa roll-on, roll-off.	the projects are composed under the PBP in building bridges and in Greater Maritime Access for the building of pier for the roll-on, roll-off.
<8>	Nagtagumpay ang kongresman sa paninira sa iba at nakorner nga nila ang lahat ng mga proyekto sa nasabing dalawang programa.	the congressman succeeds in destroying others and they have cornered all the projects in the said two projects.
<9>	Mabey & Johnson at Eiffel Mattier	Mabey and Johnson and Eiffel Mattier
<10>	Ayon kay Osmeña, ang ini-ahente ni kongresman ay ang Mabey & Johnson at Eiffel Mattier.	according to Osmeña, the congressman becomes an agent for the Mabey & Johnson and Eiffel Mattier.
<11>	Itong dalawang kompanyang ito ay may mga masasamang rekord.	these two companies have bad records.
<12>	Isang British company ang Mabey & Johnson at iniimbestigahan ng gobyernong Gran Britanya sa sobra-sobrang kita sa paggawa ng mga tulay na pinopondohan ng Official Development Assistance mula sa nasabing bansa.	the Mabey and Johnson is a British company and being investigated by the government of Great Britain for their excessive profit in building bridges funded by the Official Development Assistance from the said country.
<13>	Ito namang Eiffel Mattier na isang kompanyang Pranses ay nakilala nang husto nang idemanda nito ang ating pamahalaan sa pagkakansela ng 66 na kontrata nito para sa roll-on, roll-off projects sa mga huling araw ng administrasyon ni Aling Gloria.	and this Eiffel Mattier which is a French company became really famous when it sued our government for cancelling its 66 contracts for the roll-on, roll-off projects in the last days of the administration of Madam Gloria.
