<1>	SEC. DE LIMA, MAN OF THE HOUR	Secretary De Lima, man of the hour.
<2>	STRIKE while the iron is hot.	strike while the iron is hot.
<3>	Si Leila de Lima, secretary of justice, ang man of the hour ngayon dahil tinuturing ng marami na si De Lima ang nagwagi sa labanan nila ng Iglesia Ni Cristo.	Leila de Lima, Secretary of Justice, is now the man of the hour because many consider de Lima as the winner in her fight with Iglesia ni Cristo.
<4>	Nag-rally ang Iglesia sa Padre Faura at sa kanto ng Shaw ngunit hindi natuloy ang one million na katao na ipinangako ng mga lider nito.	Iglesia rallied at Padre Faura and at the corner of Shaw but the one million people, whom its leaders promised, did not come.
<5>	Bukod doon, hindi rin natuloy ang kanilang panawagan na tanggalin na si De Lima sa puwesto.	aside from this, their appeal to have De Lima ousted from position did not also push through.
<6>	Palatandaan kaya ito na hindi ganoon kalaki ang mga kaanib ng Iglesia?	is this a sign that the followers of Iglesia are not that many anymore?
<7>	Si De Lima ay nagbabalak kumandidato sa pagka-senador sa darating na halalan.	De Lima is planning to run as a senatorial candidate in the coming election.
<8>	May mga nagsasabi na mahalaga ang boto as a block ng Iglesia kaya naman may panganib na matalo siya sa eleksyon na ito.	there are some who are saying that the vote of Iglesia as a block is important, which is why there is a risk that she would lose in this election.
<9>	Mayroon namang nagsasabi na panahon na para kumandidato si De Lima sa pagka-Vice President sa ticket ni Mar Roxas na nagsasabi naman na panahon na rin na magkaroon uli ng isang Pangulong galing sa Visayan region.	there are some who say that it is already time for De Lima to run for vice president under the ticket of Mar Roxas, who is saying that it is also the time to have a president from the Visayan region again.
<10>	Makabuo man ng one or two million votes ang Iglesia laban kay De Lima ay mukhang kukulangin pa rin ang sectang ito ng boto.	even if Iglesia manages to accumulate one or two million votes against De Lima, it seems that this sect will still be short of votes.
<11>	Malakas ang simpatiya ng mga hindi miyembro ng Iglesia para kay De Lima.	those who are not members of Iglesia have a strong sympathy for De Lima.
<12>	Dapat ay samantalahin ni De Lima ang pagkakataong ito bago pa lumamig ang usapang ito.	De Lima should take advantage of this chance before this issue cools down.
<13>	May sinasabing may Catholic backlash, bukod pa sa mga Born Again at iba pang samahang protestante, at ito ang dapat alagaan ni Leila.	it is said that there is Catholic backlash, aside from the Born Again and other protestant groups, and this is what Leila needs to take care of.
<14>	Bago pa lumamig ang controversy na ito ay dapat nang paandarin o pagulungin ang wheels of justice na maresolba na ang kaso ng mga ministro ng Iglesia ukol sa diumano ay serious illegal detention.	before this controversy even cools down, the wheels of justice need to be put in motion or turned so that the cases of the Iglesia ministers regarding the alleged serious illegal detention can be resolved.
<15>	Sa kung mananalo naman si De Lima sa pagka-Bise Presidente ay kumporme naman kung kaya niyang talunin si Sen. Antonio Trillanes o si Alan Cayetano o dili kaya’y si Chiz Escudero.	whether De Lima will win as vice president will depend on her ability to beat Senator Antonio Trillanes or Alan Cayetano or even Chiz Escudero.
<16>	Malamang sa pakilasa ko na hindi iboboto ng Iglesia si Trillanes.	I have a feeling that Iglesia will not vote for Trillanes.
<17>	Malamang din na hindi iboboto ng maraming Katoliko si Chiz dahil mukha raw pro-Iglesia siya.	it is also probable that many Catholics will not vote for Chiz because he allegedly seems to be pro-Iglesia.
<18>	DEEP FRIED/RAUL VALINO	deep fried/Raul Valino
