<1>	Erotisismo ng salita at imahen	eroticism in words and images
<2>	by Rolando B. Tolentino May 5, 2012	by Rolando B. Tolentino May 5, 2012
<3>	Rebyu ng Ang Sayaw ng Dalawang Kaliwang Paa (Alvin Yapan, 2011)	a review of The Dance of the Two Left Feet (Alvin Yapan, 2011)
<4>	Sa indie cinema, madalas ay dalawa lang ang modelo—komersyal na umaalinsunod sa template ng genre at narrative development, na may kalkuladong talas dahil indie cinema nga, at mataas na production value, tulad ng sa komersyal na pelikula; at neorealismo na isang-araw-sa-buhay na may kapasidad makapagbigay ng hayag na panlipunang komentaryo, nanggigitata sa pang-araw-araw na detalye, at open-ended na pagsasara ng naratibo.	in indie cinema, usually there are only two models-commercial, which follows the template of the genre and narrative development, that has a calculated brilliance because it is in indie cinema, and a higher production value, similar to a commercial movie; and neorealism which is a day-in-the-life-of that has a capacity to give a bold social commentary, be gritty in everyday details, and is open-ended in concluding the narrative.
<5>	May ipinapakilala, marahil ikatlong modelo, si Alvin Yapan sa kanyang Ang Sayaw sa Dalawang Kaliwang Paa, ang literary mode.	Alvin Yapan is introducing, perhaps, what could be the third model, in his The Dance of the Two Left Feet, the literary mode.
<6>	Sa isang banda, nasa lebel ng abstraksyon at metapisika ito, o may kapasidad na tumalakay sa unibersal at transhistorikal na katotohanan at tema tungkol sa buhay at pag-ibig.	on the other side, this is on the level of abstraction and metaphysics, or has the capacity to discuss the universal and trans-historical truth and the theme is about life and love.
<7>	Sa kabilang banda, dahil nakaugat ang piniling panitikan sa kulturang Filipino, ito ay nakaangkla sa panlipunan at historikal na kondisyon ng bansa—sa pelikula, ang kontemporaryong bansa.	on the other hand, because the chosen literature is rooted in Filipino culture, this is anchored on the societal and historical condition of the country - in film, the contemporary nation.
<8>	May kakayahan ang literary mode na pansamantalang idiskarga ang bagahe ng indie cinema—bilang anti-tesis ng komersyal na pelikula, ang pagmamarka ng kontraryong posibilidad sa indie kahit na komersyal ang trajektori o/at panuntunang makapagbigay ng panlipunang komentaryo—at tumalakay ng aspekto ng pagkamamamayan at pagkabansa na wala (pa) sa anino nito.	the literary mode has the capacity to temporarily unload the baggage of indie cinema - as anti-thesis of the commercial cinema, the marking of the contrary possibility of the indie even if the trajectory or/and the formula to give social commentary is commercial - and discussing the aspect of citizenship and nationhood which is not yet in its shadows.
<9>	Umuubra at nagtatagumpay ito dahil ang pusta ay nasa lebel ng idea at konsepto, parang kung at baka sakali lang, ganito naman ang mapapag-usapan… Sa pagtahak ni Yapan, bilang scriptwriter at direktor, sa literary mode, lumalabas na figuratibo ang mga karakter at ang kanilang tunggalian sa buhay: isang maestra ng panulaan at sayaw na namumuhay mag-isa pero kumukuha ng lakas sa imahinaryo ng sapilitan pero temporaryong komunidad ng mga klase; isang mayamang estudyanteng lalake na naghahangad makapuntos sa guro at ginamit ang kakayahan para makapasok sa klase sa sayaw din nito; at isang mahirap na estudyanteng lalake na may pagnanasa sa mayaman na kaklase.	it works and succeeds because the bet is in the level of idea and concept, similar to if and maybe, something like this will be talked about. in the exploration of Yapan, as a scriptwriter and director, in the literary mode, the characters and their conflict in life are shown as figurative: a theater teacher and dances to live alone but gathering strength in the imagination of a forced but temporary community of classes; a rich male student who is aspiring to gain points from the teacher and used his ability to enter her dance classes; and a poor male student who has desires for his rich classmate.
<10>	Tanging sa panitikan at sayaw sila nakakapag-usap, o double-speak.	they are only able to talk in literature and dance, or double-speak.
<11>	Gamit ang pagbigkas at pagtalakay sa mga feministang tula, ang erotisismo ng salita at imahen ang kinakasangkapan para makapaglahad ng tunay na damdamin sa isa’t isa.	using the utterance and discourse of feminist poems, the eroticism of words and images are utilized to express the real feelings for each other.
<12>	Sa pelikula, ang double-speak ay nangyayari sa pamamagitan ng parallel editing ng dalawang eksena: ang eksena na binibigkas ang tula, at ang eksena na siyang kontexto ng pagbigkas ng tula.	in the movie, the double-speak happens between the parallel editing of the two scenes: the scene where the poem is recited, and the scene which is the context of the recitation of the poem.
<13>	Jean Garcia at Paulo Avelino sa pelikulang "Ang Sayaw ng Dalawang Kaliwang Paa" Hindi nila masabi ang tunay na saloobin sa isa’t isa.	Jean Garcia and Paulo Avelino in the film, "The Dance of Two Left Feet" cannot tell their true feelings for each other.
<14>	Sa tula, nailalahad ito, at sa sayaw, nakikita ito.	in the poem, this is expressed, and through dance, this is seen.
<15>	Abstraksyon-kontextualisasyon-abstraksyon na hanggang sa huling eksena ng pelikula, ang unrequited love ng mahirap na lalake, si Dennis, sa insensitibong mayamang lalake, si Marlon, ay may katugunan sa epikong sayaw ng Humadapnon—ang girian at digma ay nagtapos sa close-up shot ng dalawa na hindi gumagalaw, maliban sa lumabas na isang patak ng luha ni Marlon.	abstraction contextualization abstraction until the last scene of the movie, the unrequited love of the poor man, Dennis, the insensitive rich man, Marlon, has a connection to the epic dance of Humadapnon - the matching of strength and war which ended in a close-up shot of the two without movement, aside from the Marlon's one tear flowing out.
<16>	May ilang isyu na tinutukoy ang pelikula: ang makauring isyu ng kaibahan ng individual na ahensya nina Marlon at Dennis, at ang kaibahan ng rekurso sa kanilang predikamento at damdamin; at ang queer na paggamit sa feministang tula nina Rebecca Anonuevo, Joi Barrios, Merlinda Bobis, Ophelia Dimalanta, Ruth Elynia Mabanglo at Benilda Santos bilang dalumat ng pag-aangkat ng tunay na damdamin, lalo na ng homoerotisismo ng dalawang lalake.	there are some issues pointed out by the film: the class issue of the different individual agencies of Marlon and Dennis, and the different recourse to their predicament and feelings; and the queer utilization of the feminist poems of Rebecca Anonuevo, Joi Barrios, Merlinda Bobis, Ophelia Dimalanta, Ruth Elynia Mabanglo and Benilda Santos as deep mental reservoir of real emotions, especially of the homoeroticism of the two men.
<17>	Ang kapangyarihan ng literary mode ay ang kapasidad nitong gawing abstrakto ang naratibong kondisyon, at kung gayon, magkaroon ng espasyong makakahinga mula sa lipunan at kasaysayan.	the power of the literary mode is its capacity to make abstraction of the conditional narrative, and if it is, it will have a space to breathe from society and history.
<18>	Ang limitasyon nito ay nasarhan ang posibilidad na makalabas sa kulungan ng literary mode, ng mismong panitikan at sining.	its limitation is closed with the possibility to go out of the cage of the literary mode, literature and arts itself.
<19>	Matutunghayan din ito sa pelikula sa one-dimensionality ng mga tauhan, at ang rendering nito sa acting na subtle at hinahabol sa huling minuto ang transformasyon, na naganap lang ito sa huling dalawang eksena ng pelikula para sa dalawang lalake.	this is also observed in the film through the one-dimensionality of the characters, and the rendering of its subtle acting and transformation is chased in the last minute, which only happened in the last two scenes of the film for the two men.
<20>	Hindi ko sinasabing hindi magaling ang mga aktor kundi ang fundasyon ng kanilang pagkatao sa naratibo ay nakabatay sa figuratibong antas—bilang kapamaraanan ng pagdalumat sa unibersal at transhistorikal na tema.	I am not saying that the actors are not good, but the foundation of their character in the narrative is based on the figurative level - as a way of mental conception of the universal and trans-historical theme.
<21>	Sa pelikula, tula, sayaw at sining ang repositoryo ng tunay na damdamin.	in the film, poetry, dance and arts are the repositories of real feelings.
