<1>	Ang MNLF 'Integree' sa Silangkan (Leadership Experience Part 11)	the MNLF 'integree' in Silangkan (leadership experience part 11)
<2>	Nasa kalagitnaan ako ng aking breath pause habang inaaninag ang nag-iingay na target sa may kasukalan mga kalahating kilometro mula sa bungad ng Barangay Silangkan nang namukhaan ko ang aming target.	I was in the middle of my breath pause while making out the noise-generating target by the forest half a kilometer from the boundary of Barangay Silangkan when I recognized our target.
<3>	"Sanamagan! Baboy damo!"	"son of a gun! wild boar!"
<4>	Pabulong na sambit ng Bisayang sundalo,"Ihalas!"	a Visayan soldier said in a whisper, "ihalas!"
<5>	Ang laki ng baboy damo na tumawid mga 50 metro lang ang layo mula sa aming skirmishers formation.	the wild boar that crossed about 50 meters away from our skirmishers formation was big.
<6>	Parang nabuhusan kami ng malamig na tubig.	it was as if we were plunged with cold water.
<7>	Akala ko ay umaatikabong aksyon na naman laban sa mga bandido.	I assumed it was lively action again against the bandits.
<8>	Napakarami kasing naglipanang baboy sa islang lalawigan ng Sulu at halu-halo ang species na andito.	because there are so many pigs around the island province of Sulu and in here are all sorts of species.
<9>	Parang maliit na kalabaw ang aking nakita sa kanyang haba at tangkad.	what I saw was like a small water buffalo because of its length and height.
<10>	Palagay ko ay isa yon sa variety o sub-specie ng tinatawag na Bornean wild boar na lumalangoy at tumatawid papuntang mga isla ng Sibutu sa Tawi-tawi.	my guess is it is one variety or sub-specie called Bornean wild boar that swims and crosses towards the islands of Sibutu in Tawi-tawi.
<11>	Dahil Muslim ang 99% sa mga residente sa Sulu, di na kailangan ng conservation project dito dahil hindi naman nila ginagalaw ang mga hayop na ito.	because the residents of Sulu are 99% Muslim, a conservation project is no longer necessary there because they do not touch these animals.
<12>	Bihira ang nagha-hunting nito na Muslim at ibinebenta sa mga Kristiyano lalo na sa mga sundalo.	Muslim hunters are rare and snitched to the Christians especially the soldiers.
<13>	Nag-reorganize kaming muli at ibinato ko sa aming Batcom sa pamamagitan ng radyo ang aming observation.	we reorganized again and passed our observation to our BATCOM through radio.
<14>	Pati sila ay naka-alerto sa may likuran sakaling kalaban nga yong aming nakita.	even those in the back were on alert in case what we saw really was an enemy.
<15>	Nang makuha ko ang kautusan na ipagpatuloy ang movement, lumakad na kaming muli.	when I received the order to continue movement, we walked again.
<16>	Bandang alas-sais na noon ng umaga nang malapitan namin ang bungad ng bahayan.	it was around six o'clock in the morning when we approached the front of the houses.
<17>	Ihininto ko ang patrol mga 200 metro mula sa bahayan para makapag-recon.	I stopped the patrol about 200 meters from the houses to recon.
