<1>	HELIKOPTER VS MAKUPAD NA AKSYON SA KALAMIDAD	helicopter versus slow response during calamity
<2>	ANO na ba talaga ang nagaganap sa pamahalaan ngayong kabi-kabila ang mga kalamidad?	what is really happening in the government now that calamities are happening one after the other?
<3>	Sa sumbong ng mamamayan sa media, makupad na ang pagtulong nito, kulang na kulang pa.	with the complaint of the public to the media, its assistance is very slow and very insufficient.
<4>	Sa kabilang banda, mas mabilis pa ito sa kidlat sa pagbundat nito sa mga mahigit 200 lamang na mambabatas sa Kongreso.	on the other hand, it faster than lightning in fattening its more than 200 lawmakers in Congress.
<5>	WALANG NAKARARATING	nothing arrives
<6>	Kuwento ng mga biktima ng mga kalamidad, inaabot ng siyam-siyam ang pamahalaan sa pagpunta sa kanila para tulungan.	according to victims of calamities, it takes an eternity for the government to reach them for help.
<7>	Siyempre, hindi natin matatawaran ang kagustuhan, halimbawa, ng mga sundalo at pulis na tumulong, kasama na ang mga sibilyan na organisasyon at indibidwal.	of course, we cannot belittle the desire, for example, of soldiers and police to help together with the civilian organizations and individuals.
<8>	Pero problema talaga ang transportasyon para sa mabilis na pagkilos.	but transportation for a quick action is the real problem.
<9>	Kaya naman naririyan ang mga katakot-takot na kamatayan, sugat, gutom, sakit at iba pang kamalasan na tinatamo ng mga mamamayan.	hence there are the many deaths, injuries, hunger, sickness, and other misfortunes that the people experience.
<10>	SIRANG TULAY, BAHANG MALALIM	broken bridge, deep flood
<11>	Kapag nasira na ang mga tulay at kalsada, hindi na makakikilos ang mga gustong tumulong, maging ang mga search and rescue team.	when bridges and roads get destroyed, those who want to help even the search and rescue team, get immobilized.
<12>	Ganito rin kung matataas ang mga baha sa panahon ng bagyo.	this is also the case when floods are high during the typhoon season.
<13>	May mga amphibian truck naman ng pamahalaan pero paisa-isa lang.	the government has amphibian trucks again but just one at a time.
<14>	Madalas pa na under repair ang mga ito.	they are even often under repair.
<15>	Maging ang Philippine National Red Cross ay paisa-isa rin lang ang gamit.	even the Philippine National Red Cross uses it one at a time.
<16>	LAKAD LANG	just walk
<17>	Kaya naman, naglalakad na lang ang mga tumutulong.	so, those who provide assistance just walk.
<18>	Dahil dito, napakakaunti ang nadadala nilang mga pagkain, gamot, tubig at iba pang pangangailangan ng mga biktima.	because of this, they can bring very little food, medicine, water and other needs of the victims.
<19>	Habang naglalakad ang mga tumutulong, nauubos na rin nila ang mga baon nilang pantulong.	while those who provide aid walk, they also deplete the supplies they have brought.
<20>	Baka hindi na sila makabalik pang buhay sa gutom, sakit at kung ano-ano pang kamalasan.	they might be able to return alive from hunger, sickness and other misfortunes.
<21>	Kakaunti rin ang laman ng mga bangka na pupuwedeng gamitin at kung naubusan pa ng gasolina ang may bangka, problema pang malaki.	the boats that can be used can only carry little and if they run out of gasoline, it is also a big problem.
<22>	Hindi naman pupuwede ang pasagwan-sagwan dahil may mga daloy ng tubig na mabibilis at kailan aabot ang desagwan sa tamang oras, huh?	paddling won't do because there are fast currents and when will paddling get on you on time, huh?
<23>	HELIKOPTER ANG KAILANGAN	helicopter is needed
<24>	Ang tumbok nating usapin dito, mga Bro, ay ang paggamit sana ng mga helikopter sa mga emergency at kalamidad.	the issue we are hitting here, bros, is the use of helicopters in emergencies and calamities.
<25>	Sa totoo lang, nakatatakot ang mga nagsisiliparang kabaong ng mga militar at pulis.	in truth, the flying coffins of the military and the police are scary.
<26>	Galing kasi sa ukay-ukay at junkshop ang mga ito dahil panahon pa ng mga Vietcong noong 1960 at 1970 lumilipad ang mga ito.	these came from junkshops and surplus shops because these flew during the time of the Vietcong in 1960 and 1970.
<27>	Kaya gayon na lamang ang hindi natin pagtitiwala sa mga helikopter na ito lalo’t totoo namang maya’t maya ay bumabagsak ang mga ito.	this is the reason why we don't trust these helicopters especially they crash from time to time.
<28>	HINDI PRAYORIDAD	not a priority
<29>	Lumalabas na hindi prayoridad ng pamahalaan ang pagkakaroon ng mga helikopter na sibilyan para sa mga pangangailangan ng mga mamamayan.	it appears that the government does not prioritize having civilian helicopters for the needs of the people.
<30>	Kung interesado man ang pamahalaan na magkaroon ng mga helikopter, ‘yung panggiyera ang gusto.	if the government is interested in having helicopters, they want the ones for war.
<31>	Walang kala-kalamidad, walang sibilyan.	there are no calamities, no civilians.
<32>	Puro panggiyera lamang lahat.	everything is for war.
<33>	Parang mas mahalaga ang pakikipagsapalaran sa labanan sa giyera kaysa sa pagtulong sa mga kinakalamidad.	it seems like taking a gamble by fighting in war is more important than helping those affected by calamities.
<34>	Ganyan katindi ang nakikita ng mamamayan na kakulangan ng pamahalaan sa serbisyo publiko sa oras ng emergency at kalamidad.	that's how serious the people see the government's negligence of public service at times of emergency and calamity.
<35>	MAHAL ANG PANGGIGIYERA	waging war is expensive
<36>	Alam ba ninyo, mga Bro, ang presyo ng mga panggiyera na helikopter, lalo na kung gawa ang mga ito ng mga Kano?	do you know, bros, the price of war helicopters, especially if they are made by Americans?
<37>	Pinakamura ang $10 milyon bawat isa.	the cheapest is $10 million each.
<38>	Pero luma na rin ang mga ito.	but these are also old.
<39>	‘Yung mga may presyong $20M ang maganda at all-weather at pupuwedeng lumipad ang mga ito kahit sa gabi.	those priced at $20 million are good and all-weather, and they can fly even at night.
<40>	SIBILYANG HELIKOPTER	civilian helicopters
<41>	Sa harap ng mga kalamidad, hindi ang mga panggiyerang helikopter ang kailangan.	in the face of calamities, war helicopters are not needed.
<42>	Pangsibilyan.	for civilian.
<43>	At dito natin naisipan na maghanap ng mga helikopter na pupuwedeng bilhin at gamitin sana ng pamahalaan.	and this is where we thought of looking for helicopters we could buy and could be used by the government.
<44>	MURA LANG	just cheap
<45>	Nagulat tayo sa presyo ng mga segunda mano na helikopter, lalo na ang mga maliliit na para sa 2-4 katao.	we were surprised by the price of second-hand helicopters, especially the small ones for 2-4 people.
<46>	Nasa halagang $155,000 o P800,000 lang bawat isa.	each one costs 155,000 dollars or 800,000 pesos.
<47>	‘Yung iba, umaabot naman ng $1M bawat isa o P43M bawat isa.	the others cost up to $1 million each or P43 million each.
<48>	26 PASAHERO	26 passengers
<49>	Pero may mga bago palang helikopter na kayang kumarga ng nasa 26 katao sa bawat lipad.	but there are new helicopters that can fit 26 people.
<50>	Halimbawa ang mga gawang Russia na Mi-171A1, Ka-62.	for example, those Mi-171A1, Ka-62 made in Russia.
<51>	Ang 10 helikopter na ganito, mga Bro, ay nasa P2.5 bilyon lamang.	10 helicopters like this, Bros, are 2.5 billion only.
<52>	Naisip natin, pupuwede palang bumili ang gobyerno ng maraming helikopter para mabilis ang mga taong gobyerno na maghatid ng tulong na tao, pagkain, gamot at marami pang iba dahil kumakarga nga ng maraming tao ang mga helikopter na ito.	we thought the government can buy many helicopters so the people in the government can deliver humanitarian aid, food, medicines and many others because these helicopters can fit many people.
<53>	P24B PDAF, P13B DAP	P24B PDAF, P13B DAP
<54>	Dito natin naisip, mga Bro, ang mga pork barrel ng mga nambababoy sa atin na mga mambabatas.	this is where we thought of the pork barrel that our abusive lawmakers, Bros.
<55>	Taon-taon, may P24B na Priority Development Assistance Fund ang mga kongresman at senador.	every year, the congressmen and senators have 24 billion pesos in the Priority Development Assistance Fund.
<56>	Sa nakalipas na tatlong taon ng gobyerno ngayon, nagpamigay ito ng P13B bilang pork barrel ng mga mambabatas pa rin mula naman sa Disbursement Acceleration Fund.	in the last three years of the government today, they again gave 13 billion pesos as pork barrel to the lawmakers from the Disbursement Acceleration Fund.
<57>	Paano kaya kung gamitin kahit man lang ang mga pork barrel na ganito sa pagbili ng mga nasabing helikopter para mabilis sanang mapagsilbihan ang mga kinakalamidad na mamamayan?	what if pork barrels like these are used to buy the aforementioned helicopters in order to quickly assist people devastated by calamity?
<58>	O kayong mga senatong, tongresman at konsuhol sa Malakanyang, hinahamon namin kayo ukol dito.	hey, "senatong," "tongressman" and "konsuhol" in Malacanang, we are challenging you about this.
<59>	oOo	oOo
<60>	Anomang reklamo o puna ay maaaring iparating sa 09214303333.	any complaint or comment can be sent through 09214303333.
