<1>	Lovi, nakapagsulat ng kanta sa sobrang inspirasyon By Allan Diones	Lovi, was able to write a song from so much inspiration by Allan Diones
<2>	September 5, 2016	September 5, 2016
<3>	MASYADONG na-inspire si Lovi Poe sa bago niyang Kapuso drama series katambal si Tom Rodriguez kaya nagawa niyang makapagsulat ng kanta.	Lovi Poe was too inspired in her new Kapuso drama series co-starring with Tom Rodriguez so she was able to write a song.
<4>	After ng presscon ng Someone to Watch Over Me ay na-inspire si Lovi sa karakter niyang si Joanna na asawa ni TJ (Tom), na nagkaroon ng early-onset Alzheimer’s disease, kaya naisulat niya ang kantang Sana’y Maalala.	after the press conference of Someone to Watch Over Me Lovi was inspired by her character Joanna who is the wife of TJ (Tom), who had early-onset Alzheimer's disease, so she was able to write her song Sana'y Maalala.
<5>	Sey ng Kapuso actress, kahit titulo ng kanta ang Someone to Watch Over Me ay hindi ito gagamiting theme song ng serye, kaya may chance na ‘yung sari­ling composition niya ang maging theme song nito.	the Kapuso actress said, even if Someone to Watch Over Me is the title of a song it will not be used as the theme song of the series, so there is a chance that her own composition will become its theme song.
<6>	Posible rin na may nakuha nang kanta na gagamiting official theme song ng nasabing Kapuso drama at maging second theme song ‘yung Sana’y Maalala ni Lovi, na in fairness ay akmang-akma sa tema ng soap opera, na unti-un­ting nawawala ang alaala ni Tom dahil sa Alzheimer’s.	it is also possible that there is already a song chosen to be used as the official theme song of the said Kapuso drama and Lovi's Sana'y Maalala will become the second theme song, that in fairness is perfect for the theme of the soap opera, that Tom's memory is gradually disappearing due to Alzheimer's.
<7>	Maging si Tom ay tuwang-tuwa at na-excite sa ginawang kanta ni Lovi.	even Tom is so happy and excited at the song Lovi made.
<8>	Matagal nang mahilig magsulat ng songs si Lovi, mula pa nu’ng grade school siya, kaya marami-rami siyang naipong sariling compositions.	Lovi has enjoyed writing songs for some time, since she was in grade school, so she has accumulated quite a lot of her own compositions.
<9>	Ngayong gabi na ang pilot telecast ng Someone to Watch Over Me sa GMA Telebabad pagkatapos ng Descendants of the Sun.	the pilot telecast of Someone to Watch Over Me is tonight on GMA Telebabad after the Descendants of the Sun.
<10>	Maraming halikan dito sina Lovi at Tom bilang mag-asawa sila na inlab na inlab sa isa’t isa.	as a married couple who are really in love with each other Lovi and Tom have a lot of kissing scenes here.
<11>	Meron din silang love scenes, na ang gusto ni Direk Maryo J.	they also have love scenes, which is preferred by Director Maryo J.
<12>	de los Reyes ay maging makatotoha­nan ang dating at makumbisi ang mga manonood na nagmamahalan talaga sila.	de los Reyes to appear realistic and convincing to viewers that they are really in love.
