<1>	Magkita-kita Tayo Ngayong Agosto!	see you this August!
<2>	Bukod sa pagtuturo ng dalawang klase ngayong sem, natanguan ko rin ang iba't iba pang panayam ngayong Agosto (at may ilan ding kinailangan nang tanggihan dahil hindi na kaya ng powers ko).	aside from teaching two classes this sem, I agreed to different interviews this August (and there are some that had to be turned down because I can only take so much).
<3>	Nagsimula ang buwan sa akin sa isang panayam tungkol sa pagsusulat sa Ateneo Junior High School, partikular sa mga kasapi ng Loyola Book Club, noong Agosto 3.	the month started for me with an interview about writing for Ateneo Junior High School, particularly with the members of the Loyola Book Club, on August 3.
<4>	Nagugulat pa rin ako sa interes ng mga bata, at sa mga tanong nila at pagkamangha.	I am still surprised at the interest of the children, and their questions and wonder.
<5>	At bilang isang book club, lahat talaga halos sila ay dumating sa kuwarto nang may bitbit na kani-kaniyang iba't ibang librong binabasa.	and as a book club, really almost all of them came to the room carrying each of the different books they read.
<6>	Ngayon, sa huling sampung araw ng buwan, naririto pa ang huling apat na panayam na ibibigay ko.	now, in the last ten days of the month, here are the final four interviews I will give.
<7>	Magkita-kita sana tayo sa alinman sa mga ito.	hopefully we see each other in any of these.
<8>	21 Agosto / Maghapong panayam at palihan kasama ang mga mag-aaral ng PHINMA-University of Pangasinan sa Dagupan City.	21 August/ whole afternoon interview and workshop together with the students of PHINMA - University of Pangasinan in Dagupan City.
<9>	Magbibiyahe na ako patungong Dagupan sa Linggo at mag-o-overnight doon para kayanin naman ang mula alas-8 hanggang alas-5 panayam, Q&A, at palihan sa sabi nila ay humigit-kumulang 70 mag-aaral.	I will travel to Dagupan on Sunday and stay overnight there to accommodate the interview from 8 o'clock to 5 o'clock, Q&A, and workshop to what they said are more or less 70 students.
<10>	26 Agosto / Bookuwentuhan tungkol sa Janus Silang kasama ang mga mag-aaral ng Lourdes School sa Quezon City.	27 August/ Bookuwentuhan about Janus Silang together with the students of Lourdes School in Quezon City.
<11>	Kasama ko rito ang Adarna House simula ala-una ng hapon.	I will be with Adarna House here starting one o'clock in the afternoon.
<12>	27 Agosto /	27 August /
<13>	Pagkatapos ng Bookuwentuhan sa Lourdes School, aakyat na ako agad ng Baguio para sa panayam kinabukasan sa Libro Ilokano 2016: 2nd Ilokano Book Fair na proyekto ng GUMIL at itinataguyod ng NBDB.	after the Bookuwentuhan in Lourdes School, I will immediately travel up to Baguio for the interview the next day with Libro Ilokano 2016: 2nd Ilokano Book Fair that is a project of GUMIL and established by the NBDB.
<14>	Sa umaga ng Agosto 27 ang panayam ko kasama rin si Allan Popa.	on the morning of August 27 is my interview together with Allan Popa.
<15>	Papaksain ko ang aking "Pitong Paalala sa Pagsusulat ng Nobela."	we will talk about my "seven reminders in writing a novel."
<16>	28 Agosto / Pagkatapos ng panayam sa Baguio, bababa rin agad ng Maynila para sa panel discussion naman kinabukasan sa huling araw ng The Philippine Readers & Writers Festival 2016 sa Raffles Makati.	28 August / after the interview in Baguio, I will immediately go down to Manila for the panel discussion the next day on the final day of the The Philippine Readers & Writers Festival 2016 in Raffles Makati.
<17>	Kasama ko sa panel tungkol sa pagsusulat para sa mga bata sina Mary Gigi Constantino at Xi Zuq.	with me in the panel about writing for children are Mary Gigi Constantino and Xi Zuq.
<18>	May mapupuntahan ka ba sa mga ito?	will you be able to go to any of these?
<19>	O gusto mo ba akong anyayahan ding magbigay ng panayam sa inyo?	or do you want to invite me to give an interview with you?
<20>	Kontakin lamang ako rito.	just contact me here.
