<1>	Militarisasyon sa Quezon at pakikipagsapalaran ng Mercy Mission	militarization in Quezon and the struggle of the Mercy Mission
<2>	by Pher Pasion	by Pher Pasion
<3>	July 4, 2012	July 4, 2012
<4>	Mariing tinututulan ng mga mamamayan ng Timog Quezon ang militarisasyon sa kanilang lugar.	the citizens of Southern Tagalog assertively objected to the militarization in their place.
<5>	(Pher Pasion)	(Pher Pasion)
<6>	Marso nitong taon nagsimula ang pagtindi ng militarisasyon sa katimugang Quezon.	March of this year when the intensified militarization in Southern Quezon began.
<7>	Ito ang unang pagkakataon na nagpadala ng ganitong karaming tropa ng militar sa naturang lugar, mas marami pa noong Batas Militar, ayon sa Save Bondoc Peninsula Movement (SBPM).	this is the first time when this huge number of military troops was deployed in the said place, more than Martial Law, according to Save Bondoc Peninsula Movement (SBPM).
<8>	May 4,000 sundalo mula sa walong batalyon ang nakakalat ngayon sa probinsya ng Quezon kung saan nakakonsentra ang mga ito sa dalawang distrito sa Timog Quezon na may sakop na 22 munisipalidad.	around 4,000 soldiers from the eight battalion are scattered now in the province of Quezon where they are concentrated in the two districts of Southern Quezon which has a scope of 22 municipalities.
<9>	Ito ang nagtulak sa mga iba’t ibang organisasyon, party-list, at iba pang indibidwal na sumama sa walong araw na Mercy Mission and Peace Caravan sa probinsiya bilang tugon sa umano’y lumalalang kaso ng paglabag sa karapatang pantao dulot ng militarisasyon.	this has pushed different organization, party-list, and other individuals to join the eight-day Mercy Mission and Peace Caravan in the province as an answer to the worsening cases of violations of human rights brought by militarization.
<10>	Layunin ng nasabing misyon ang magbigay ng mga serbisyo tulad ng medical, dental, relief operations, fact-finding, kultural, psyhco-social therapy at ecumenical services sa tinatayang 1,500 residente sa Timog Quezon at Bondoc Peninsula.	the goal of the said mission is to give services such as medical, dental, relief operations, fact-finding, cultural and psycho-social therapy and ecumenical services to the estimated 1,500 residents in Southern Quezon and Bondoc Peninsula.
<11>	“Mainit” na salubong	warm welcome
<12>	Mainit na sinalubong sa pamamagitan ng isang public forum ang mga delegado ng Mercy Mission sa Unibersidad ng Pilipinas sa Diliman.	a warm welcome through a public forum of the delegates of the Mercy Mission in the University of the Philippines in Diliman.
<13>	(Pher Pasion)	(Pher Pasion)
<14>	Matapos ang kanilang walong araw na misyon, inilahad ng Mercy Mission ang kanilang naging karanasan sa isang public forum sa Unibersidad ng Pilipinas-Diliman bago sila tumulak sa Times Street sa bahay ni Pangulong Benigno Aquino III.	after their eight-day mission, the Mercy Mission revealed what they had experienced in a public forum in the University of the Philippines before they went to Times Street in the house of President Benigno Aquino III.
<15>	Matapos ito’y nagprotesta din sila sa harapan ng Department of National Defense (DND) upang kondenahin at ilantad ang Oplan Bayanihan.	after this, they also protested in front of the Department of National Defense (DND) to condemn and expose the Oplan Bayanihan.
<16>	Ayon sa Mercy Mission, umaabot sa 128 kaso ng paglabag sa karapatang pantao ang kanilang naitala, kabilang ang 16 na pagpatay at tatlong sapilitang pagdukot.	according to the Mercy Mission, they have recorded up to 128 cases of violations of human rights, including 16 killings and three forced abduction.
<17>	Hindi pa kasama dito ang mga hindi nais maitala dahil sa takot na baka balikan sila ng mga militar.	this has not included those who do not want to be recorded due to a fear that the military might get back to them.
<18>	“Sa pagpunta pa lamang doon sinalubong na kami agad ng mga black propaganda na isinabit nila na kabilang daw sa New People’s Army (NPA) ang misyon na ito.	"by just going there, we are already met black propaganda and they hooked this mission as part of the New People's Army (NPA).
<19>	Sabi ng mga mamamayan na nakakita, mga militar ang nagsabit, namigay pa ng mga polyeto na mapanira sa amin.	told by the citizens who witnessed, the military had linked this, distributed flyers which are destructive to us.
<20>	Tatlong beses pa kaming hinarang ng mga sundalo.	and the soldiers blocked us three times.
<21>	Naglagay pa ng mga pakong pantusok sa daanan ng aming mga sasakyan,” ayon kay Orly Marcellana, tagapagsalita ng SBPM.	had put nails on the road to pierce through our vehicles," according to Orly Marcellana, spokesperson of SBPM.
<22>	Ilan naman sa naitala ng Karapatan ang mga kaso tulad ng kay Mylene Santua, isang lider-masa na pinipilit kunin ng mga militar.	some which are recorded by Karapatan are cases similar to Mylene Santua, a mass leader who is forcibly abducted by the military.
<23>	Hanggang sa pag-uwi sinundan si Mylene sa kanila, kung saan nakaranas ng pananakot ang kanyang mga anak.	even in going home, Mylene was trailed off, where her children experienced threats.
<24>	Gayundin, ang nangyari kina Dominic at Mark (itinago ang identidad para sa seguridad) na dinukot ng mga pinaghihinalaang sundalo matapos silang dumalo ng kasal.	similar to what happened to Dominic and Mark (whose identity is hidden for security) who are kidnapped by suspected soldiers after they attended a wedding.
<25>	Nagpakilala diumano ang mga dumukot sa kanila na mga NPA at hinahanap sa kanila si “Ka Jun” at tinatanong kung saan nakatago ang M16.	those who abducted them have introduced themselves as NPA and was looking for "Ka Jun" from them and asking where the M16 was hidden.
<26>	Nang walang mapiga dahil inosente ang mga ito, pinakawalan ang dalawa at tinanong kung kanino sila kampi kung sa NPA ba o sa sundalo.	when they could not press them because they were innocent, the two were released and asked to whom they would take side: NPA or soldiers.
<27>	Sumagot sila na kampi sila sa sundalo dahil sa takot.	they answered that they would take the side of the soldiers because of fear.
<28>	Noong Marso 30, ipinatawag ng Philippine National Police (PNP) ang may 14 na katao sa pamamagitan ng barangay.	last March 30, the Philippine National Police (PNP) summoned about 14 people through the barangay.
<29>	Karamihan di pumunta dahil sa takot.	most of them did not go because of fear.
<30>	Ang iba pinuntahan sa mga bahay at pinaghahalughog ang mga ito, may hinahanap daw na kriminal.	others are visited to their houses and searched them out, have been looking for a criminal.
<31>	“Natatakot ng ang mga magsasaka dahil sa hindi na sila puwedeng gabihin sa bukid o di kaya ay pumunta ng maaga dahil sa takot na paghinalaan silang mga NPA.	"the farmers are afraid because they could not stay in the farm until dark or go earlier because of a fear that they will be suspected as NPA.
<32>	Pinapupunta sa kampo ang mga ito at kung hindi magpunta ilalagay na sa Order of Battle.	these are summoned to go to the camp and if they would not, they would be put in the Order of Battle.
<33>	Kung ayaw mag-Cafgu (Civilian Auxilliary Geographical Unit), NPA na sa kanila,” pahayag ni Marcellana.	if you do not want to become a CAFGU (Civilian Auxiliary Geographical Unit), automatically an NPA for them, stated by Marcellana.
<34>	Habang ang mismong Mercy Mission ay sinundan ng mga militar, kinukunan ng mga litrato at bidyo lalo na ang mga lider-masa, ayon sa SBPM.	while the Mercy Mission itself is trailed off by the military, taken with photos and videos especially the mass leaders, according to the SBPM.
<35>	“Tinakot ng mga sundalo ang mga mamamayan na kapag nagpunta sila sa amin (Mercy Mission) ay magkakaroon ng gulo.	"the soldiers threatened the citizens that if they would go to us (Mercy Mission), chaos will happen.
<36>	Pinaghandaan nila ang pananabotahe sa amin,” dagdag ni Marcella.	they are preparing to sabotage us," Marcella added.
<37>	Ayon kay Marcellana, kinuha pa umano ng mga militar ang kanilang gagamitin para sa medical and relief operations, at biglang nagkaroon ng sariling medical and relief operations ang mga militar.	according to Marcellana, the military even took their equipment to be used for the medical and relief operations, and the military suddenly had their own medical and relief operations.
<38>	Bata, bata, mahuli taya	kid, kid, the one who will be caught, a pawn
<39>	Nagsagawa naman ang Children’s Rehabilitation Center (CRC) ng psychological therapy sa mga batang nakaranas ng militarisasyon sa Brgy.	the Children's Rehabilitation Center (CRC) conducted a psychological therapy to children who experienced militarization in Barangay
<40>	Talisay sa bayan ng San Andre at San Francisco, Quezon.	Talisay in the municipality of San Andre and San Francisco, Quezon.
<41>	Nasa may 200 bata edad lima hanggang 16 taong-gulang mula elementarya at hayskul ang sumailalim sa counseling.	about 200 children aged five to 16 years old from elementary to high school have undergone counselling.
<42>	Karamihan sa kanila ay biktima ng sapilitang paglikas dahil sa militarisasyon.	most of them are victims of forced evacuation because of militarization.
