<1>	EDITORIAL: Isulong ang kapayapaan!	editorial: push peace forward!
<2>	December 22, 2016Nakakalungkot na napakaraming kaguluhan ngayon sa iba’t ibang panig ng mundo.	December 22, 2016 numerous chaos in various parts of the world now is saddening.
<3>	Napakaraming buhay ang nabubuwis dahil sa pagkakaiba-iba ng mga ideyolohiya at pananampalataya.	many lives are lost because of the differences of ideologies and faiths.
<4>	Napakaraming mamamayan ang lumilikas mula sa kanilang nag- iisang tahanan at bansa para ­lamang mapreserba ang kanilang buhay.	many citizens are evacuating from their only home and country just to preserve their lives.
<5>	Mga refugees na walang masilungan.	refugees without shelter.
<6>	Mga nagbabaka-sakaling maglakbay sa karagatan na ang marami ay hindi rin pinapalad na makatawid sa kaligtasan.	many take chances in travelling the seas but not fortunate to cross safely.
<7>	Lalong nakakalungkot na hindi lahat ng bansa­ ay bukas-palad ­silang tinatanggap.	more saddening that not all countries are receiving them in welcome.
<8>	Hanggang ngayon, habang ang maraming nasyunalidad, tulad natin ay abala na sa Kapaskuhan at sa pagsalubong sa papasok na bagong taon, sila na itinataboy ng giyera palayo sa kanilang mga tahanan ay wala pang bagong bubong kung saan nila puwedeng ipagdiwang ang mga okasyong ito.	until now, while many nationalities, similar to us, are busy for Christmas and meeting the arrival of the New Year; they, who are driven away by war from their own homes, have no new homes where they can celebrate these occasions.
<9>	Maaaring ang ilan sa kanila ay walang Pasko dahil sa ibang pananampalataya, pero ang paghihiwalay ng taon ay ipinagdiriwang ng lahat ng tao, anuman ang lahi at ­relihiyon.	some of them might not have Christmas because of a different faith, but the parting of the years is celebrated by everyone, whatever be the race and religion.
<10>	Sadyang napakapalad natin na dito sa ating bansa ay walang ganitong uri ng kaguluhan.	we are so fortunate here in our country that we do not have this kind of chaos.
<11>	Walang suicide bombers, walang giyera na likha ng ISIS at mga Muslim extremist.	no suicide bombers, no war created by ISIS and Muslim extremist.
<12>	Kung mayroon mang bahagi sa Mindanao na tila nababahiran ng ganitong uri ng karahasan, sinisiguro ng ating sandatahang lakas na kontrolado ang sitwasyon.	if there is a part in Mindanao which is tainted by this kind of chaos, our armed forces ensure that they are in control of the situation.
<13>	Sa simpleng pagtingin, hindi tayo bumibilang ng daan-daan sa bawat pagsabog o matinding bakbakan ng mga bala at mortar.	at simple glance, we do not count hundreds in each explosion or severe firefight of bullets and mortars.
<14>	­Hindi rin binubulabog ng air strike ang ating pagtulog.	the airstrikes have not been disrupting our sleep.
<15>	Sana ay matuto tayong magpasalamat sa napaka­laking biyayang ito.	hope that we learn how to be grateful for this big blessing.
<16>	Pero bilang mga nilikha ng Poong Maykapal na mayroong pagmamahal sa kapwa,­ tungkulin natin na maging instrumento ng kapayapaan, hindi lamang ngayong Pasko at sa sari­ling lipunan kundi sa lahat ng pagkakataon at kaninuman.	but as creations of the Almighty God who have compassion for others, it is our duty to become instruments of peace, not only this Christmas and in our own society but at all times and to anyone.
<17>	Gamit ang social media, maaaring ipalaganap ang kapayapaan at pagmamahalan, hindi lang sa mga kababayan kundi­ maging sa ibang lahi, lalo na sa mga biktima ng ­giyera sa kanilang sariling bansa.	using social media, we can spread peace and love, not only to our fellow countrymen but also for other races, especially to the victims of war in their own country.
<18>	Kung wala man tayong magawa para sa kanila, malaking bagay ang panalangin para sa kanilang kaligtasan at sa kapayapaan ng kanilang bayan.	if we cannot do anything for them, a prayer is a big thing for their safety and for peace in their country.
