<1>	MATUTONG GUMAWA NG LISTAHAN	learn how to make a list
<2>	NITONG 2013, kawalang pinansiyal na suporta ang pinakamarami pa ring kaso na kinaharap ng Bantay OCW.	this 2013, lack of financial support is still the majority of cases faced by the Bantay OCW.
<3>	Halos araw-araw, hindi kami nawawalan ng mga hinaing mula sa mga asawang babae ng ating OFWs.	almost everyday, we don't lose complaints from wives of our OFWs.
<4>	Maaaring nabawasan ang suporta, o ‘di kaya’y pumapalya, magpadala-dili o tuluyang hindi na talaga nagpapadala si mister.	perhaps decrease of support, or just seldom, or a complete lack of support by the husband.
<5>	Maraming dahilan ang mga OFW.	the OFWs have lots of excuses.
<6>	Ngunit kadalasan ang pagkakaroon nila ng kinakasama sa abroad.	but usually, it's their mistress abroad.
<7>	At sa bandang huli, magkakaroon na ng sariling pamilya roon.	and it will end up to them having a family of their own there.
<8>	Kaya iyan ang dahilan kung bakit nababawasan ang mga padala sa orihinal na pamilya, at tuluyan nang ihihinto iyon.	that's the reason why sustenance for the original family is reduced, and will eventually completely stop.
<9>	Mabuti na lang kung may hanapbuhay naman si misis sa Pilipinas.	it would have been better if the wife has an income in the Philippines.
<10>	Ang kaso nga, asang-asa lang ang marami sa mga ito at halos manlimos na lang sa mga asawang OFW, mapadalhan lamang sila.	but the case is, many of them are dependent to their OFW husbands, almost begs just to be sustained.
<11>	Ang ilan pa nga, nagdadayalog na lang na okay lang sa kanila na mambabae si mister, o kahit pa nga may ibang pamilya na ito sa abroad, basta’t huwag lang ihihinto ang pinansiyal na suporta sa kanila.	some even say that it's okay for their husband to have a mistress, or even have a different family in abroad, as long as they don't stop the financial support to them.
<12>	Minsan may misis ng OFW ang nagtungo sa Bantay OCW upang ireklamo si mister na tiyempo namang nagbabakasyon noon.	one time, a wife of an OFW went to Bantay OCW to complain her husband who was chanced to be on a vacation at that time.
<13>	Alam na niyang may kinakasama ang asawa sa Qatar kaya ang pakiusap na lang niya ay gawing regular ni mister ang suporta sa pamilya.	she already knows that her husband has a mistress in Qatar, but her only request is for the husband to give a regular support to the family.
<14>	May tatlong anak sila at pawang mga	they have three children and are only
<15>	nagsisipag-eskuwela, may bahay pang hinuhulugan at walang trabaho si misis.	students, there's still a house on installment, and the wife doesn't have a job.
<16>	Nang nalaman ni mister na nagsumbong sa Bantay OCW ang asawa, mas ginusto niyang sa amin magharap-harap at tapusin ang problema bago siya bumalik ng Qatar.	when the husband learned that his wife complained to Bantay OCW, he opted to face us and end the problem before he goes back to Qatar.
<17>	Pinaglaanan namin ng sapat na panahon ang pagtatagpo ng mag-asawa sa studio ng Inquirer Radio sa Makati City.	we gave an ample time for the meeting of husband and wife at the studio of Inquirer Radio in Makati City.
<18>	Palibhasa’y suporta ang isyu, hiningan namin si misis ng listahan ng mga gastusin sa bahay.	because the issue is support, we asked the wife a list of expenses at home.
<19>	Paulit-ulit naming hinihingi kay misis ang listahan niya, ngunit parang hindi niya kami naririnig, wala lang siyang kibo.	we repeatedly asked the wife her list, but it seemed like she didn't hear us, she wasn't responding.
<20>	Nang hanapin ko muli ang listahan, sinabi niyang wala siyang listahan kaya wala siyang maipakita.	when I asked for the list again, she said he doesn't have a list, hence, doesn't have anything to show.
<21>	Sinimulan namin siyang turuan ng paggawa ng listahan para sa buwanang budget ng kanilang pamilya.	we started to teach her how to make a list for the monthly budget of their family.
<22>	Nang matapos na namin iyon, saka namin ginawa ang nararapat at makatarungang pagsasaayos ng budget na dapat ipadala ni mister sa kanyang misis buwan-buwan.	when we finished that, we then settled the right and just budget that the husband should send the wife monthly.
<23>	Parehong paborable sa kanilang dalawa ang pormulang ginamit namin.	the formula we used was favorable to both of them.
<24>	Happy ang OFW nang maglaan kami ng automatic savings na 20% para sa kanya, at tamang kinuwenta naman namin ang buwanang gastusin ng pamilya.	the OFW was happy that we set apart an automatic savings of 20% for him, and we properly calculated the monthly expenses of the family.
<25>	Matapos ang pirmahan nila sa naturang kasunduan, masayang nagpasalamat ang magkabilang panig dahil hindi na nga naman sila nagsampa pa ng kaso sa korte na totoo namang gugugol ng kanilang maraming oras at gastos pa.	after their signing of the said agreement, both parties were thankful because they would not be filing a case in court, which would really use up a lot of their time and also be an expense.
<26>	Kasabay nito, hinimok naman namin si misis na maghanapbuhay at tumulong din sa asawang OFW na magdaragdag ng kabuhayan para sa lumalaki nilang pamilya.	altogether, we urged the wife to look for a job and help the OFW husband that will add sustenance for their growing family.
<27>	At ang pinakamatindi, matuto sanang gumawa ng buwanang listahan ang mga misis upang may basehan kayo ng inyong hinihinging suporta sa inyong mga mister.	and above all, hopefully, wives can learn how to make a monthly list to have a basis of requested support from the husband.
<28>	Kung may listahan, hindi naman magiging mahirap para sa OFWs na magbigay ng buwanang suporta dahil iyon nga naman ang kanilang pangunahing dahilan sa pag-a-abroad: ang mabigyan ng mabuting kinabukasan ang kanilang pamilya.	if there was a list, it wouldn't be hard for the OFWs to give a monthly support because it really is their primary reason of going abroad: to give their family a good future.
<29>	O paano, mga misis, simulan na ninyong maglista at magiging maalwan ang inyong buhay, dahil bahagi ng pang araw-araw nating mga gawain ang paggastos at tamang pagbabadyet.	what now, wives, start listing and your lives will be easier, because expenses and right budgeting is part of our daily lives.
<30>	Tiyak na maiiwasan ninyo ang mga hindi pagkakaunawaan.	surely, you'll avoid disagreements.
