<1>	Ang Mali ni Ricky	Ricky's mistake
<2>	Marami na ang nakapagsulat tungkol sa kontrobersyal na interbyu ni Ricky Lo, kolumnistang pang-showbiz, kay Anne Hathaway, sikat na artistang Amerikano.	many has already written about the controversial interview of Ricky Lo, showbiz columnist, with Anne Hathaway, famous American actress.
<3>	Maliban sa mga kapanalig sa showbiz ni Lo, mas marami ang tumutuligsa kaysa nagtatanggol sa kanya sa isyu.	aside from Lo's friends in showbiz, there are more people who bashes him than those that defends him.
<4>	Saan, saan nagkamali si Lo sa panayam kay Hathaway?	what, what was his mistake in interview with Hathaway?
<5>	Sa tingin ko, sa nilalaman at porma.	I think, in the content and form.
<6>	Sa nilalaman, masasabing personal ang mga tanong ni Lo, hindi propesyunal; mas tungkol kay Hathaway bilang tao at artista, hindi tungkol sa pelikula.	on content, you can see that Lo's questions are personal, unprofessional; it was more about Hathaway as a person and actress, and not about the film.
<7>	Mas malamang, nasa isip si Lo kung paano ibebenta ang pelikula at istorya, at ang naisip niya ay personal, kaya rin panay ang tanong niya tungkol kay Lea Salonga.	perhaps, what Lo was thinking was how to sell the film and story, and he thought in terms of personal, hence, he also asked a lot about Lea Salonga.
<8>	Sa porma, ratsada ang naging pamamaraan ni Lo, patalun-talon sa iba’t ibang paksa, hindi nagpalalim sa mga isinagot ni Hathaway tungkol sa pelikula.	on form, being direct was Lo's scheme, jumping from one subject to another, without going deep into Hathaway's answer about the film.
<9>	Sa kanyang pagkairita, matalas ang sagot ni Hathaway sa huling tanong ni Lo: Para talagang mas gustong pakinggan ni Lo ang sarili kaysa makinig sa sinasabi ng iniinterbyu niya.	in her irritation, Hathaway's answer was sharp in Lo's last question. it really seemed that Lo wanted to hear himself more rather than what the interviewee was saying.
<10>	Ang nakakakilabot, inilarga ni Lo ang panayam nang matikas, ramdam ang kanyang awtoridad sa Pilipinas.	what's disturbing is Lo did the interview gracefully; you can feel his authority in the Philippines.
<11>	Hindi niya alintana ang pagtanggi ni Hathaway na sagutin ang una niyang tanong, na mahihinuhang masyadong personal.	he was oblivious to Hathaway refusing to answer his questions that seemed to be very personal.
<12>	Hindi siya nagbago ng mga tanong at pamamaraan, iginiit ang kagawian niya sa telebisyon sa mga artista sa bansa.	he didn't change his way and questions, asserted his habit in television with artists in the country.
<13>	Bilang isa sa pinakamalalaking reporter pang-showbiz sa bansa, na may kaakibat na yaman at kapangyarihan, tagapagdala si Lo ng kagawian ng lokal na industriya ng entertainment.	as one of the biggest reporters in showbiz, with his power and riches, Lo represents the way of local industry in entertainment.
<14>	Trinato niya ang panayam kay Hathaway tulad ng pagtrato niya sa panayam sa mga artista sa bansa: pakalkal sa personal at mainipin ang porma.	he treated his interview with Hathaway the same way he treats his interview with artists in the country: digging into personal life and with impatient form.
<15>	At sa mali ni Lo, makikita ang ilang mali sa showbiz sa bansa: Una, ang pagsandig sa mga intriga sa personal na buhay ng mga artista para magbenta ng mga pelikula at iba pang proyekto.	and with Lo's mistake, you'll be able to see other mistakes of showbiz in the country: first, depending on the personal life of the artists to sell a film and other projects.
<16>	Ikalawa, ang labis na awtoridad ng mga makapangyarihan sa showbiz – mga kolumnista, manager at estasyon ng telebisyon – na nagdidikta sa mga artista.	second, the excessive authority of the powerful in showbiz - the columnists, managers, and stations of television - dictating the artists.
<17>	Halos kasabayan ng panayam kay Hathaway, pumutok ang “intriga” tungkol kina Kim Chiu, Maja Salvador at Gerald Anderson, at damay pa si Sarah Geronimo.	almost simultaneous with the interview with Hathaway, the issue about Kim Chiu, Maja Salvador, and Gerald Anderson came out, even implicating Sarah Geronimo.
<18>	Ang hinala ng iba, para ibenta ang teleserye ng unang dalawa.	other suspects that this is to sell the television series of the first two.
<19>	Kinasuhan naman ng GMA7 si Sarah Lahbati dahil naghayag ang huli ng umano’y mga anomalya sa paghawak sa mga artista.	GMA 7 also filed a case against Sarah Lahbati for saying anomalies about managing artists.
<20>	Isipin na lang ang dinaranas ng mga artista.	just think about the what the artists go through.
<21>	Kailangan nilang makilaro sa mga gawa-gawang kwento tungkol sa personal na buhay nila para lang magbenta.	they need to play along with the made-up stories about their personal lives just to sell.
<22>	Kailangan nilang maging magalang sa mga makapangyarihang kumakaltas sa kita nila, dahil ang mga ito, kayang “wasakin” ang kanilang “career” – at ang iba’y nagbabanta talaga nang ganyan.	they need to be respectful to the powerful people who deducts their incomes, because they can ruin their "career" - and others really gives threats such as this.
<23>	Maaaring may ganito ring mga problema sa showbiz sa US, maaaring wala; hindi ko masabi.	there probably are problems like these in the showbiz of US, probably not; I can't say.
<24>	Ang tiyak, hindi pantay ang ugnayang pangkapangyarihan sa pagitan nina Hathaway at Lo.	what's sure is the authority between Hathaway and Lo are of not the same level.
<25>	Hindi kayang wasakin ni Lo ang career ni Hathaway tulad ng pwede niyang gawin sa mga artista sa bansa; ang problema, umakto siyang parang kaya niya.	Lo can't destroy Hathaway's career, like how he can with the artists of the country; the problem is he acted like he can.
<26>	At lumaban si Hathaway.	and Hathaway retaliated.
<27>	Dahil nakita siya sa protestang Occupy sa US at sumusuporta sa kampanyang One Billion Rising laban sa karahasan sa kababaihan, mas may batayang isiping hindi lang siya bugnutin sa araw na iyun.	because she was seen in the Occupy protest in US, and supports the campaign of One Billion Rising against violence against women, there's more basis to think that she wasn't just irritable that day.
<28>	Maaaring may gusto siyang gawing punto sa harap ng hindi naman talaga kaaya-ayang pakikipanayam ni Lo.	perhaps she wanted to make a point in front of the unprofessional interview of Lo.
<29>	Kakatwa, pero parang ipinaghiganti ni Hathaway ang mga artistang Pinoy.	funnily, it seemed like Hathaway retaliated for the Pinoy artists.
<30>	Nagawa niya ang hindi kayang gawin ng mga lokal na artista.	she was able to do that the local artists can't.
<31>	Kakatwa, dahil ang industriya ng entertainment sa US na pinagmulan niya ay responsable rin – sa panggigipit sa mga pelikula at palabas sa telebisyon sa Pilipinas – sa dinaranas ng mga artista sa bansa.	oddly, because the industry of US entertainment where she came from is also responsible - for putting films and television shows of Philippines in crisis - for what the artists of the country are going through.
