<1>	Miyerkules, Hulyo 6, 2016	Wednesday, July 6, 2016
<2>	ANG DAMO AT ANG BATO: Isang makabagong pabula sa panahon ni Digong	the grass and the stone: a new kind of fable in the times of Digong.
<3>	ANG DAMO AT ANG BATO: Isang makabagong pabula sa panahon ni Digong	the grass and the stone: a new kind of fable in the times of Digong.
<4>	ni Gregorio V. Bituin Jr.	by Gregorio V. Bituin Junior
<5>	Masayang nag-uusap ang damo at ang bato sa isang liwasan.	the grass and the stone are happily talking with each other in a park.
<6>	Nang maya-maya'y dumating ang isang maya.	when suddenly a sparrow came.
<7>	Anang maya, "Mga kaibigan, nais ko sana kayong kapanayamin.	the sparrow said, "friends, may I interview you?"
<8>	Bago iyon, kinapanayam ko ang ilang nilalang kung saan ba sila masaya.	before that, I interviewed a few beings and ask them what makes them happy.
<9>	Ngunit karamihan ay nagsabing hindi sila masaya.	but most of them said that they are now happy.
<10>	Tinanong ko ang uod kung masaya ba siya.	I asked the worm if he is happy.
<11>	Ang sabi niya'y hindi pagkat wala pa siyang pakpak na maganda tulad ng paruparo.	he said he's not happy because he doesn't have beautiful wings like that of a butterfly.
<12>	Tinanong ko ang paruparo kung masaya ba siya.	I asked the butterfly if he is happy.
<13>	Ang sabi niya'y hindi pagkat di pa niya nasimsim ang pinakamarikit na rosas sa hardin.	he told me that he's not happy because he is still not able to sip from the most beautiful rose in the garden.
<14>	Tinanong ko ang rosas kung masaya ba siya.	I asked the rose if he is happy.
<15>	Ang sabi niya'y hindi pagkat di pa dumarating ang binatang pipitas sa kanya upang ibigay sa pinipintuhong dalaga.	he said that he is not happy because the young man that would pick and give him to the fairest young lady is still to come.
<16>	Tanong ko lang, mga kaibigang damo at bato, kayo ba ay masaya?"	I ask you, my friend grass and stone, are you happy?
<17>	Tumugon ang damo, "Masaya ako sa kung ano ako ngayon.	the grass answered, "I am happy for what I am now."
<18>	Di alintana ang init ng araw o patak ng ulan.	not paying attention to the heat of the sun or the drops of rain.
<19>	Kaysarap damhin ang ihip ng hangin.	it's nice to feel the breeze of the wind.
<20>	Masaya ako dahil ako'y ako."	I am happy because I am me.
<21>	Anang bato, "Ako'y moog na nakatutulong upang makapamuhay ng maayos.	the stone said. "I am a stone and I help to make living better."
<22>	Pundasyon ng bahay at gusali, ginagamit ding graba, tungko, at marami pa.	foundation of houses and buildings, used as gravel, construction material and many more.
<23>	Masaya ako sa silbi ko sa mundo."	"I am happy with my purpose in the world."
<24>	Dagdag ng damo, "Gayunpaman, bago ka dumating ay aming pinag-uusapan ng bato na hindi kami masaya sa nangyayari ngayon sa maraming nilalang sa mundo.	the grass added, "however, before you came we were talking about how we are not happy with the things that are happening with many other beings in the world."
<25>	Ginagamit ng mga tao ang aming pangalan para sa kanilang mga bisyo.	the humans uses our names for their vices.
<26>	Tinatawag nilang damo ang hinihitit nilang mariwana na karaniwang nagiging dahilan ng pagkasira ng kanilang kinabukasan."	they call the marijuana that they smoke weed which often becomes the reason for the destruction of their future."
<27>	Dagdag naman ng bato, "Gayundin naman, bato ang tinatawag ng mga tao sa kanilang bisyong shabu na nagiging dahilan din ng pagkasira ng kinabukasan ng maraming mamamayan."	the stone added, "the same as well, stone is what they call the vice named meth that causes the future of many people to be destroyed.
<28>	Muli ay nagsalita ang damo, "Masaya ako bilang ako, ngunit sana'y huwag sirain ng tao ang mabuti naming pangalan."	the grass spoke again, "I am happy the way I am, but I wish that the humans would stop ruining my good name."
<29>	"Gayon din ako," anang bato.	"I have the same thoughts," said the stone.
<30>	Sumagot ang maya, "Marahil nalalapit na ang pagkalinis ng inyong pangalan.	the sparrow answered, "it is possible that your names would be cleared soon."
<31>	Dahil tinutugis na ng kapulisan ang mga gumagamit ng damo at bato.	because the police are now capturing those who uses grass and stone.
<32>	Kung hindi mamatay ay makukulong ang mga taong gumagamit ng maling katawagan sa inyo."	"those who use your names for wrong will die, if not, they will be imprisoned"
<33>	Sabay na tugon ng damo at bato, "Sana nga’y tuluyan nang luminis ang aming pangalan. Hihintayin namin ang pagdating ng araw na iyon."	in unison the grass and stone answered, "we really hope that our names would be cleared. we will wait for that day to come"
