<1>	#ForwardMarch: Pasulong na martsa ng kilusang kontra-pork barrel	#forwardmarch: groups marching forward against pork barrel
<2>	by Pinoy Weekly Staff September 15, 2013	by Pinoy Weekly Staff September 15, 2013
<3>	Mas maliit man kaysa sa naunang pagtitipon noong Agosto 26, malakas pa ring inirehistro ng humigit-kumulang 15,000 katao sa Luneta ang paglaban sa pork barrel.	even if this was smaller compared to the previous gathering on August 26, more or less 15,000 people in Luneta still loudly demonstrated their opposition against pork barrel.
<4>	Hindi ipinagbawal, bagkus ay hinimok pa, ng mga organisador ng #ForwardMarch ang pagdadala ng mga plakard, banners, streamers, watawat, effigy at kung anu- ano pang porma ng biswal na protesta.	placards, banners, streamers, flags, effigy and other visual forms of protest were not prohibited but were encouraged by the organizers of #ForwardMarch.
<5>	May mataimtim na pananalangin, pero mayroon ding maingay na pagtugtog ng mga banda at musikero, ang narinig mula sa entablado.	there was a solemn prayer, and loud music from bands and musicians were also heard from the stage.
<6>	Dahil dito, isang makulay, malikhain at matunog na protesta ang inirehistro ng mga mamamayan noong Setyembre 13.	because of this a colorful, creative and vibrant protest was demonstrated by the people on September 13.
<7>	Nilahukan, siyempre, ang protesta ng organisadong hanay ng mga mamamayan.	of course, organized ranks of the people joined the protest.
<8>	Bahagi ang militanteng mga grupo, mga alyado nila, at progresibong mga indibidwal at netizens sa Abolish the Pork Barrel Movement (#AbolishPork) na nag-organisa sa protestang iyon.	militant groups, their allies, and progressive individual citizens and netizens of the Abolish the Pork Barrel Movement (#AbolishPork) organized the protest.
<9>	Pero bukod dito, lumahok din ang iba’t ibang eskuwelahan, mula sa pampublikong mga pamantasan hanggang sa eksklusibo at Katolikong eskuwelahan.	aside from these, various schools from public universities to exclusive and Catholic schools also joined.
<10>	Samantalang nagtipon sa Liwasang Bonifacio ang mga organisasyon sa ilalim ng Bagong Alyansang Makabayan (Bayan), naglunsad naman ng banal na misa ang mga pari at relihiyoso sa simbahan ng San Agustin sa Intramuros, bago nagmartsa patungong Luneta.	while organizations under the New National Alliance (Bayan) were assembling in Liwasang Bonifacio, priests and the religious celebrated a holy mass in San Agustin Church in Intramuros before marching to Luneta.
<11>	Patungo sa parke, tinagpo nila ang mga kapwa-relihiyoso mula sa mga Kristiyanong Protestante, kasama ang whistleblowers sa pangunguna ni Jun Lozada.	going to the park, they met with fellow religious people from the Protestant Christians along with whistleblowers headed by Jun Lozada.
<12>	Nakasama pa ng mga relihiyosong Protestante si dating Chief Justice Reynato Puno.	the religious Protestants was with former Chief Justice Reynato Puno.
<13>	IKILIK ANG LARAWAN PARA MAKITA NANG MALAKI.	click the picture to enlarge it.
<14>	#ForwardMarch sa Luneta Park, 13 Setyembre 2013.	#ForwardMarch in Luneta Park, 13 September 2013.
<15>	(Mga larawang pinagdikit, ni Pher Pasion) Sa Luneta, muling naglunsad ng ecumenical service ang mga relihiyosong Katoliko, Protestante, at Muslim.	(pictures attached by Pher Pasion) in Luneta, an ecumenical service was again held by religious Catholics, Protestants and Muslims.
<16>	Tinapos ito ng talumpati ni Archbishop Emeritus Oscar Cruz, na matapang na nananawagan ng pananalangin at pagkilos.	it was ended by a speech from Archibishop Emeritus Oscar Cruz who boldly called for prayer and action.
<17>	“Magdasal tayo,” sabi ni Cruz.	"let us pray," Cruz said.
<18>	“Pero kumilos din tayo.	"but let us also act.
<19>	Maganda ang dasal pero hindi sapat ang dasal.”	"prayer is good but prayer is not enough."
<20>	Sinabi niya na makapangyarihan ang dalawang ito — panalangin at pagkilos — para tutulan ang “kababuyang” nagaganap sa bansa ngayon.	he said that these two are powerful - prayer and action - to object to the immorality happening in the country today.
<21>	Inunahan na rin niya ang inaasahang pagmamaliit ng Malakanyang at midya sa pagkilos ng mga mamamayan noong araw na iyon.	he also mentioned the anticipated belittling of Malacañang and the media about the protest of the people that day.
<22>	“Kung may magsasabi na ang taong wala rito (sa Luneta) ay sang-ayon sa pork barrel system mo (Pangulong Aquino), nagkakamali ka,” ani Cruz.	"if someone says that people who are not present here (in Luneta) agree to your pork barrel system (President Aquino), you are mistaken," said Cruz.
<23>	Maaari umanong “wala lang pamasahe, o walang laman ang tiyan” ng mga mamamayang hindi nakalahok sa protesta.	people who did not participate in the protest might have no fare or have an empty stomach.
<24>	“Pero imposible na payag sila sa mga nangyayari sa bayan natin ngayon,” pagtatapos ng Arsobispo.	"but it is impossible that they agree to the things happening in our nation today," the Archbishop concluded.
<25>	Dumulo ang programa sa mga talumpati at pagtatanghal, at konsiyerto — tinaguriang “Rock and Rage” — ng mga musikerong malakas na nagpahayag ng pagtutol sa sistema ng pork barrel, sa korupsiyon sa pamahalaan, at sa pagsasamantala ng iilan sa nakararaming mamamayan.	towards the end of the program, there were speeches, performances and a concert titled "Rock and Rage" of musicians who boldly declared disapproval against the pork barrel system, corruption in the government, and exploitation by some of the majority of the people.
<26>	Nangako silang magpapatuloy ang mga protesta.	they promised to continue the protests.
<27>	May nakatakda na, sa Setyembre 21, pero bago at matapos ang petsang ito, inaasahang magpapatuloy ang pagpapahayag ng pagtutol sa lahat ng porma ng pork barrel — hanggang mabasura ito, o mabasura ang mga nagtataguyod nito.	one is set on September 21 but before and after this date, it is expected that expression of opposition will continue against all forms of pork barrel until it is abolished or its promoters removed.
