<1>	Ang Tunay na Kalaban ni Duterte Ngayon by Teo S. Marasigan October 24, 2016	the true enemy of Duterte today by Teo S. Marasigan October 24, 2016
<2>	Hindi ang mga pambansang minorya o Kaliwa ang dapat tinutuligsa ng mga naniniwala sa puso at paninindigan ng pangulo, kundi ang mga kumokontra sa nagsasariling patakarang panlabas.	those who believe the heart and the stand of the president should not be criticizing the national minority or the left, but those contradicting the independent foreign policy.
<3>	Oktubre 19, nagprotesta ang mga pambansang minorya – Igorot, Aeta, Lumad, Moro, at iba pa – sa US Embassy, kasama ang mga sumusuporta sa kanilang organisasyong kasapi ng Bagong Alyansang Makabayan o Bayan.	October 19, the national minorities - Igorots, Aetas, Lumads, Moros, and others - protested in the US Embassy, together with organizations supporting them that are part of the Bagong Alyansang Makabayan or Bayan.
<4>	Bago nito, ilang araw na sila sa Kamaynilaan, sa Unibersidad ng Pilipinas-Diliman sa partikular, para iprotesta ang patuloy na militarisasyon at operasyon ng mga minahan at plantasyon sa mga lupaing ninuno.	before this, they have been in Metro Manila for a few days, particularly in the University of the Philippines-Diliman, to protest the continued militarization and operation of mines and plantations in their ancestral lands.
<5>	Itinayo rin nila ang kanilang pambansang alyansa, ang Sandugo.	they also established their national alliance, Sandugo.
<6>	Sa araw na iyun, tema ng protesta ang pagsuporta sa panawagan ni Pang. Rodrigo Duterte para sa “independyenteng patakarang panlabas.”	on that day, the theme of the protest is to support the call for President Rodrigo Duterte to have an "independent foreign policy."
<7>	Tinuligsa ng mga pambansang minorya ang papel ng US kaugnay ng kanilang mga isyu: mga kompanyang Amerikano sa pagmimina at plantasyon, pagsasanay ng militar ng US sa mga sundalong Pilipino, paglahok ng mga sundalong Amerikano sa mga operasyong militar, at pagtutulak ng gobyerno ng US ng mga patakarang neoliberal kaugnay ng pagmimina at plantasyon.	the national minorities criticize the role of the US related to their issues: American companies in mining and plantations, US military training of Filipino soldiers, American soldiers joining military operations, the US government pushing for neoliberal policies related to mining and plantations.
<8>	Nasa China si Duterte habang nagaganap ang protesta.	Duterte is in China while the protest is taking place.
<9>	Mahalaga ang pagbisita para sa tinawag ng isang manunuring pampulitika na “Pivot to China” ng pangulo – pagbaling palayo sa US na may nauna namang patakarang “Pivot to Asia” kung saan mahalaga ang Pilipinas.	the visit is important for what a political observer calls the president's "pivot to China" - moving away from the US which has an earlier policy "pivot to Asia" where the Philippines is important.
<10>	Sa China, palaban, gaya ng lagi, ang mga pahayag ni Duterte: “paghiwalay” sa US hindi lang sa larangang militar, kundi sa ekonomiya; paghanay sa China at Rusya – na naggigiit ng kanilang soberanya laban sa US at may ambisyong maging imperyalista.	in China, as usual, the statements of Duterte are fierce: "separation" from the US not only in the military domain, but also economic; allying with China and Russia - who insist on their sovereignty versus the US and with ambitions to become imperialist.
<11>	Pero nakakagulat, sa panahon ni Duterte kahit paano, ang naging tugon ng kapulisan.	but shockingly, somehow during the time of Duterte, is the answer of the police force.
<12>	Nang patapos na ang programa ng mga nagpoprotesta, marahas na binuwag ang kanilang hanay ng mga pulis.	when the program of the protesters was almost over, the police violently destroyed their ranks.
<13>	Bukod sa pamalo at panangga, na karaniwan na, ang mga pulis ay nagpaputok ng warning shots at gumamit ng teargas, na hindi karaniwan.	aside from batons and shields, which are common, the police fired warning shots and used teargas, which is unusual.
<14>	Tampok na imahen ng protesta ang trak ng mga pulis na umararo-sumagasa sa mga nagpoprotesta.	a prominent image of the protest is the truck of police officers that ran over the protesters.
<15>	Gayundin ang grabeng pamamalo at maramihang pag-aresto sa kanila.	as well as the severe attacks and mass arrest of them.
<16>	Marami ang sugatan, nasaktan, at isinugod sa ospital.	many were injured, hurt, and rushed to the hospital.
<17>	Totoo, nagpumilit sila, nilampasan ang humarang na hanay ng pulis, pero bahagi ito ng paggigiit ng karapatang magprotesta.	true, they were insistent, went past the police row blocking, but it is part of insisting their right to protest.
<18>	Totoo, nagsulat sila ng mga islogan sa pader ng embahada, pero minsang pagpapakita lang ito ng galit sa araw-araw na krimen laban sa kanila sa kanilang mga komunidad.	true, they wrote slogans on the wall of the embassy, but it is a rare display of their anger to the daily crimes against them in their community.
<19>	Hindi sila karapat-dapat sa tangkang pagpatay gamit ang trak ng pulis, na ang pag-atras-abante ay larawan ng kawalan ng pagkilala sa halaga ng buhay nila.	they are not deserving of attempted murder using the police truck, whose backing-up-and-down is an image of disregard for their lives.
<20>	Isang araw bago nito, hindi gaanong tumampok sa balita, ginamitan din ng militar ng water cannon ang mga pambansang minorya sa protesta ng huli sa Camp Aguinaldo.	one day before this, it was not featured in the news that much, the military also used water cannons on the national minority in the latter's protest at Camp Aguinaldo.
<21>	Kinondena ng mga pambansang minorya ang militarisasyon sa kanilang komunidad, na nagpapatuloy sa kabila ng unilateral ceasefire na idineklara ng militar laban sa New People’s Army.	the national minority condemned the militarization of their community, which continues despite the unilateral ceasefire declared by the military versus the New People's Army.
<22>	Tinuligsa rin nila ang magkasunod na pagpaslang kina Anoy Pasaporte, kabataang aktibista, at Jimmy Saypan, lider- magsasaka, sa Compostela Valley.	they also criticized the consecutive murders of Anoy Pasaporte, youth activist, and Jimmy Saypan, farmer-leader, in Compostela Valley.
<23>	Sa isang banda, nakakagulat din ang naging tugon ng mga troll na tagasuporta ni Duterte, na labas sa Kaliwa, sa social media.	on one hand, the response of the troll supporters of Duterte is shocking, outside the left, in social media.
<24>	Ipinagtanggol nila ang pandarahas sa mga nagprotesta, dinepensahan ang kapulisan, at siniraan ang mga aktibista: kesyo hindi tunay na tagasuporta ni Duterte, mga bayaran sa pagpoprotesta, at, pinakamasahol sa lahat, kampon ng mga dilawan – ibig sabihin, bayaran ni Noynoy Aquino.	they defended the violence of the protesters, defended the police, slandered the activists: that they were not real supporters of Duterte, the protesters were paid, and worst of all, yellow followers - meaning, paid by Noynoy Aquino.
<25>	“Hindi ka-DDS” o Die-hard Duterte Supporters ang sabi ng mga ito tungkol sa mga aktibista.	they spoke of the activists as "not ka-DDS" or die-hard Duterte supporters.
<26>	Demonstrador sa harap ng embahada ng US: sumusuporta sa independyanteng patakarang panlabas ni Pangulong Duterte.	protester in front of the US embassy: supporting the independent foreign policy of President Duterte.
<27>	Boy Bagwis Kaya silang pinapalayas at dinadahas sa kanilang mga komunidad, tumungo sa Kamaynilaan para iparinig ang kanilang kalagayan at panawagan, ay dinahas at pinalayas muli.	Boy Bagwis so they who were driven out and experienced violence in their communities, went to Metro Manila to express their condition and appeal, experienced violence and were driven out again.
<28>	Silang humihingi ng katuparan ng mga pangako ni Duterte ay pilit pinatahimik ng pulisya at militar niya.	they who ask for Duterte's promises to become true were forcefully silenced by his police and military.
<29>	Silang nagsusulong sa “independyenteng patakarang panlabas” ay nilusob ng mga dapat ay sumusuporta sa pangulo.	they who support the "independent foreign policy" were attacked by those who should have been supporting the president.
<30>	At sila pa, sa dulo, ang inaakusahang kalaban ni Duterte, kakampi ng mga dating nandahas sa kanila.	and they, in the end, were accused as enemies of Duterte, as allies of those who hurt them before.
<31>	Sa loob ng isang buwan pagkatapos ideklara ni Duterte ang “independyenteng patakarang panlabas,” humanay ang mga tutol rito.	within a month after Duterte declared the "independent foreign policy," those against it followed.
<32>	Sa panig ng gobyerno ng US, tila nagbabala ng pagpapatalsik si Assistant Secretary of State Daniel Russel nang sabihin nitong “seryosong pagkakamali… na maliitin ang pagiging malapit ng publiko sa US.	for the part of the US government, Assistant Secretary of State Daniel Russel seems to hint of impeachment when he said "serious mistake... to underestimate the public's closeness to the US.
<33>	People power iyun.”	that is people power."
<34>	Todo agad ang banat ni dating Pang.	serious was the immediate statement of former president
<35>	Fidel V. Ramos, dating alyado ni Duterte, grabeng maka-US, at ngayon lang tumuligsa sa bagong-upong presidente.	Fidel V. Ramos, former ally of Duterte, staunch US supporter, and criticized the newly-elected president only now.
<36>	Tuluy-tuloy sa pagpuna si Alberto del Rosario, dating kalihim ng Foreign Affairs ng rehimeng Noynoy Aquino, na tumawag pang “pambansang trahedya” sa mga pahayag at hakbangin ni Duterte.	Alberto del Rosario, former foreign affairs secretary of the Noynoy Aquino regime, continues to criticize and even called the statement and action of Duterte "a national tragedy."
<37>	Si Bise-presidente Leni Robredo naman, binanggit agad ang “international aid” sa bansa – parang tinuturuan ang US kung ano ang gagawin para saktan, sa akala niya, ang gobyernong Duterte.	Vice-President Leni Robredo meanwhile, immediately mentioned the "international aid" of the country - as if teaching the US what to do to hurt, in her opinion, the Duterte government.
