<1>	Salamin ng Buhay	mirror of life
<2>	Salamin ng Buhay	mirror of life
<3>	ni Apolinario B Villalobos	by Apolinario B Villalobos
<4>	Hindi nakikita ng tao ang kanyang mukha hangga’t hindi siya tumingin sa salamin.	a person cannot see his face unless he looks at a mirror.
<5>	Sa ganoong pagkakataon pa lamang niya makikita ang kabuuhan ng kanyang mukha, na siya pala ay may dungis na dapat niyang punasan upang matanggal… na siya pala ay may nunal sa ilalim ng kaliwang mata… na siya pala ay may mga ngipin na hindi pantay… na siya pala ay may matamis na ngiti, atbp.	he will be able to see his whole face only in that way, that he has dirt he needs to wipe in order to be removed... that he has a mole under his left eye... that he has uneven teeth... that he has a sweet smile, etc.
<6>	Sa araw-araw nating pamumuhay, kailangan din nating magkaroon ng “salamin” upang malaman kung may mga ginawa tayo na hindi maganda, masagwa, o mabuti.	in our everyday life, we also need to have a "mirror" in order to know if we are doing something not good, vulgar, or kind.
<7>	Sa pagkakataong ito, ang “salamin” natin ay ang ating kapwa.	in this occasion, our "mirror" is our fellowman.
<8>	Sa kanila natin masasalamin at malalaman na may mga ginawa tayo na masagwa pala kaya dapat nating iwasang gawin uli.	through them we will see and know that we have done vulgar things so we can avoid repeating them.
<9>	Sa mga ginawa din nila natin masasalamin ang mga kabutihang ginawa na natin, nguni’t hindi natin alam.	through their actions we will also be able to see the kindness we have done, but are not aware of.
<10>	Nguni’t may bisa lamang ang paggamit natin ng ating kapwa bilang salamin kung kaya nating tanggapin ang ating kamalian.	but using our fellowman as a mirror is effective only if we can accept our faults.
<11>	Hangga’t hindi natin ito kayang gawin, hanggang papuri na lamang tayo kung may makikita tayong magandang ginawa ng ating kapwa at pangkukutya sa kanila kung gumawa sila ng masama – na ginawa din pala natin.	until we cannot do this, we are limited to giving compliments when we see our fellowmen doing something good and condemning them if they do something bad - that we have done as well.
<12>	Dahil diyan ay walang silbi ang ating pananalamin sa pamamagitan ng ating kapwa.	because of that looking through a mirror via our fellowman is useless.
<13>	Sa mga pagkakataong dapat ay mayroon tayong natutunan pero pinalampas natin, wala tayong dapat sisihin kundi ang sarili natin – kung tayo ay naghihirap dahil sa palaging kakapusan sa pera, may mga suwail na anak, nawalan ng trabaho, hiniwalayan ng asawa, atbp.	in instances where we should have learned something but let it pass, we have no one to blame but ourselves - if we are suffering because of frequent shortage of money, disobedient children, loss of work, separation of spouse, etc.
<14>	Magsisi man tayo…ay huli na.	we may regret it... but it is too late.
