<1>	KAYA NATIN: Bigyan dapat priyoridad ang agrikultura at kalusuganBy Harvey Keh	we can: priority should be given to agriculture and health by Harvey Keh.
<2>	August 23, 2016	August 23, 2016
<3>	Ngayong linggo ay nag-umpisa na ang pagtalakay sa hinihinging P3.3 trilyon na budget para sa 2017 ni Pangulong Rodrigo Duterte.	this week, the discussion began for President Rodrigo Duterte's requested P3.3 trillion budget for 2017.
<4>	Ang nakakagulat sa halagang ito ay ang biglang paglobo ng budget ng opisina ni Duterte na noong panahon ni dating Presidente Benigno ‘Noynoy’ Aquino III ay may budget na tatlong bilyong piso lamang pero sa hinihinging budget ni Duterte ay lumobo ito sa P20 bil­yon.	what's shocking in this amount is the sudden increase of budget of the office of Duterte which during the time of President Benigno 'Noynoy' Aquino III had a budget of only three billion pesos but in the requested budget of Duterte it increased to P20 billion.
<5>	Ayon kay Budget Sec. Benjamin Diokno, limang bilyong piso sa budget na ito ay gagamitin para sa pagsasagawa ng ASEAN conference rito sa ating bansa sa susunod na taon pero ganu’n pa man, napakalaki pa rin ng inangat ng budget ng Office of the President.	according to Budget Secretary Benjamin Diokno, five billion pesos of this budget will be used to organize the ASEAN conference here in our country next year, but still the increase in the budget of the Office of the President is enormous.
<6>	Siyempre kung umangat ang budget ng isang opisina, may ilang mga departamento naman ang natapyasan ng budget at ang isa sa mga pinakamalaking tapyas ay ang Department of Health (DOH) kung saan kulang kulang P30 bilyon ang nabawas.	of course, if the budget of the office is increased, there are number of departments where budgets are deducted, and one of the biggest deduction is from Department of Health (DOH) where an estimated 30 billion pesos was inferred.
<7>	Kung matutuloy ang pagtapyas na ito, maraming mga serbisyong pang kalusugan ang siguradong mababawas para sa mga ordinaryong mga mamamayan.	if this deduction will push through, many health services will surely be minimized for ordinary citizens.
<8>	Ngayon pa lang nga ay kulang na ang mga gamot at ibang kagamitan sa ating mga pampublikong mga ospital, paano pa kaya sa susunod na taon kung nabawasan nang husto ang budget ng DOH.	even now, we already have inadequate medicines and other equipment in our public hospitals; how much more in the next years when there will be a big deduction in the budget of DOH?
<9>	Mahalaga ang kalusugan sa ating lipunan dahil kapag may sakit ang isang miyembro ng pamilya, nauubos ang suweldo o ang sa­vings ng pamilya.	health is important in our community; because if one member of the family is sick, the salary or savings of the family are used up.
<10>	Kung ang magkakasakit ay ang mismong nagdadala ng kita para sa pamilya, siguradong gutom ang aa­butin ng kanilang pamilya.	if the bread winner of the family gets sick, surely, it will bring hunger to the family.
<11>	Ito rin ang isa sa mga pangunahing dahilan kung bakit nababaon sa utang ang mga kababayan natin kaya sa halip na makapag-ipon sila para sa kanilang kinabukasan ay nauubos lamang ito para makabili ng gamot para sa kanilang mahal sa buhay.	this is also one of the reasons why our fellow citizens are buried in debts; instead of saving for their future, it is consumed in buying medicines for their loved ones.
<12>	Kung magiging maayos lamang ang sistema ng kalusugan sa ating bansa, mas malalabanan natin ang kahirapan.	if only the healthy system in our country is organized, we can fight poverty better.
<13>	Isa pang natapyasan na departamento ay ang Department of Agriculture (DA).	another department that got a cut is the Department of Agriculture (DA).
<14>	Pinangako ni Duterte na bibigyan niya ng pansin ang ating mga magsasaka at mangingisda kaya sana ay inakyat niya ang budget ng DA para mas mabigyan pa ng tulong ang mga nagpapakain sa ating bayan.	Duterte promised to pay attention to our farmers and fishermen, hence, he should have increased the budget of DA to give more help to those who feed our country.
<15>	Maraming problema ang ating mga magsasaka at isa na rito ay tuwing bumabagyo ay nauubos ang kanilang pananim kaya kailangan na sila umutang muli para makapagtanim muli.	our farmers have lots of problems; one is the destruction of crops during typhoon, which consequently requires them to loan money to plant again.
<16>	Dahil dito ay nababaon na rin sila sa utang at nahihirapan na silang makabangon kaya sana ay mabigyan din ng mataas na budget ang DA para matulungan ang ating mga magsasaka sa kanilang mga kinakaharap na problema.	because of this, they are buried in debt and makes it difficult for them to rise; hence, DA should be given a higher budget to help our farmers with the problems they're facing.
