<1>	Giyerang agresyon ng US, tinutulan ng mga OFW	war of aggression by US, opposed by OFWs
<2>	by Darius Galang	by Darius Galang
<3>	March 18, 2012	March 18, 2012
<4>	Pag-alis ng mga tropang Kano sa mga bansang ginigiyera ng Estados Unidos, hiling ng mga OFW at kanilang kaanak at tagasuporta.	departure of American troops in the countries US is at war with, is being wished by OFWs and their families and supporters.
<5>	Umano'y nilalagay nito sa panganib ang buhay ng mga OFW sa Syria at iba pang bansang pinanghihimasukan ng US.	they are putting into danger the lives of OFWs at Syria and other countries meddled at by the US.
<6>	(Darius Galang)	(Darius Galang)
<7>	Sa ika-17 taong anibersaryo ng pagkamatay ni Flor Contemplacion, nanawagan ang mga Overseas Filipino Worker (OFW) na itigil ang mga giyera ng agresyon ng Estados Unidos, lalo na sa Gitnang Silangan kung saan matatagpuan ang libu-libong migranteng Pilipino.	in the 17th year anniversary of the death of Flor Contemplacion, the Overseas Filipino Workers (OFW) are pleading the end of war of aggression by the United States, especially in the Middle East where thousands of migrant Filipinos are located.
<8>	Noong Marso 17, nagtungo sa Mendiola ang grupong Migrante International, kasama ang kababaihang OFW na nanggaling sa bansang Syria, kaanak ng mga OFW, at iba pang mga sektor mga para ipanawagan ang pag-alis ng mga tropang Kano sa Syria at iba pang bansa.	on March 17, the group Migrante International, together with female OFWs who came from the country Syria, families of OFWs, and other sectors, went to Mendiola to plead for the departure of American troops at Syria and other countries.
<9>	“Kailangang magkaisa ang mga migrante at pamilya laban sa panghihimasok ng gobyernong US saanman sa mundo,” pahayag ni Garry Martinez, tagapangulo ng Migrante International.	"the migrants and the families need to unite against the interference of the US government wherever in the world," stated Garry Martinez, president of Migrante International.
<10>	“Kung hindi abuso, karahasan at giyera ang dulot nito, laging nanganganib ang buhay ng ating mga migranteng Pilipino.”	"if not abuse, violence and war are caused by this, lives of our migrant Filipinos are always endangered."
<11>	Isang OFW survivor mula sa Syria (Darius Galang)	one OFW survivor from Syria (Darius Galang)
<12>	Nananatiling nasa panganib ang libu-libong Pilipino sa Gitnang Silangan dahil sa mga sigalot.	thousands of Filipinos remain in danger at the Middle East because of the conflict.
<13>	Ibinahagi ng Migrante ang pagkasawi ni Meran Prieira Montezor, isang 23 anyos na tubong Camarines Sur, sa Homs, Syria sa gitna ng isang ambus.	Migrante shared the death of Meran Prieira Montezor, a 23 year old native of Camarines Sur, at Homs, Syria in the middle of an ambush.
<14>	Kasama ng Pilipino ang anak ng kanyang amo nang paulanan ng bala ang kotseng sinasakyan nila ng mga hindi kilalang tao.	with the Filipino is the child of her employer when their car got rained down by bullets by unknown people.
<15>	Panawagan ni Martinez ang mas aktibo at mas sistematikong pagpapabalik sa bansa ng mga OFW.	Martinez pleads for a more active and systematic regress to the country of the OFWs.
<16>	Hinamon din niya si Pangulong Aquino na pumosisyon kontra sa interbensiyon ng puwersang US-NATO sa Syria.	he also challenged President Aquino to position against the intervention of US-NATO forces at Syria.
<17>	Sa huli, iginiit ng Migrante ang pagtigil sa Labor Export Policy at inudyok ang administrasyon na lumikha ng mga trabaho sa loob ng bansa.	in the end, Migrante insisted the cease of the Labor Export Policy and encouraged the administration to create more jobs within the country.
<18>	“Habang may kawalan ng lupa, walang trabaho sa loob ng bansa, at patuloy na tumataas ang mga presyo ng bilihin, puwersadong umalis ang mga Pilipino patungo sa mga bansa kahit pa umiiral ang pandaigdigang krisis pang-ekonomiya.	"while there are lack of land, no work within the country, and continued increase in the prices of goods, Filipinos are forced to leave the country even though there is a worldwide economic crisis.
<19>	Patuloy na nailalagay ang mga OFW sa napipintong panganib.	OFWs are constantly put into imminent danger.
<20>	Isa itong siklo na hindi titigil hangga’t walang isinasagawang pundamental na repormang panlipunan,” pagtatapos ni Martinez.	this is one cycle that would not stop unless no fundamental social reform is put into action," ends Martinez.
<21>	Pangulong Aquino, kinondena sa di pagposisyon sa giyerang agresyon ng US-NATO sa Syria, at sa pagpapatuloy ng labor export policy na naglalagay ng mga OFW sa panganib.	President Aquino, condemned for not taking a position on the US-NATO war of aggression in Syria and for continuing the labor export policy which puts the OFWs in danger.
<22>	(Darius Galang)	(Darius Galang)
