id,agg_type,unstack_cnn,context_lstm_dim,context_layer_num,context_lstm_drop_out,agg_(lstm or cnn)_dim,agg_layer_num,agg_self_att,window_size,mp,drop_out,type1,type2,type3,lr,char(em-ls),shared_attention,shared_aggregation,input_highway,match_highway,agg_highway,batch_size,converged_epoch,loss_type,modify_loss,train_map,valid_map,test_map,test_mrr,max_test_map,att_type,context_self
7.55,LSTM,True,50,1,False,50,1,False,,50,0.04,'mul','w_sub_mul',None,0.002,,True,True,False,False,False,40,9,'list_wise',0.1,0.959546203674,0.747408451685,0.708173129739,0.71554982511,0.708173129739,'dot_product',False
7.52,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul','mul',None,0.002,,True,False,False,False,False,40,12,'list_wise',0.1,0.913553383152,0.696232339089,0.705473254992,0.7188244271,0.705473254992,'linear_p_bias',False
7.65,LSTM,True,50,1,False,50,1,False,,50,0.04,'mul','mul',None,0.002,,False,False,False,False,False,40,10,'list_wise',0.1,0.913125554331,0.744732522639,0.700222969667,0.71412614753,0.703862895221,'linear_p_bias',False
7.6,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,False,False,40,13,'list_wise',0.1,0.93304214445,0.75109373651,0.696803798505,0.70514689146,0.70545360329,'dot_product',False
7.14,LSTM,False,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,False,False,40,8,'list_wise',0.1,0.930188233056,0.708058046451,0.694016714637,0.7040758281,0.696337737589,'linear',False
7.72,CNN,False,50,1,False,100,,,1,100,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,True,False,40,11,'list_wise',0.1,0.860683769718,0.688876093043,0.691989531959,0.70028582528,0.69223921369,'bilinear',True
7.70,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul','w_sub_mul',None,0.002,,True,True,False,False,False,40,10,'list_wise',0.1,0.924346706767,0.722856566869,0.687674474017,0.69981348098,0.691290453945,'dot_product',False
7.38,LSTM,False,50,1,False,50,1,False,,100,0.04,'mul','mul',None,0.002,,False,True,False,False,False,40,8,'list_wise',0.1,0.93698479999,0.719967851813,0.687376964209,0.69618678075,0.690449462676,'dot_product',False
7.48,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul','mul',None,0.002,,False,True,False,False,False,40,8,'list_wise',0.1,0.922532635958,0.735372864505,0.684612974873,0.69823554528,0.702253723357,'dot_product',False
7.11,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,9,'list_wise',0.1,0.926981432627,0.70742255203,0.684210656742,0.69715746644,0.698492954502,'linear',False
7.29,LSTM,True,50,1,False,50,1,False,,100,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,10,'list_wise',0.1,0.964826544662,0.710424055662,0.682697620738,0.69413492885,0.711678209554,'bilinear',True
7.59,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,False,False,40,7,'list_wise',0.1,0.936489450339,0.717447521614,0.681357077749,0.69384643663,0.685351353037,'dot_product',False
7.68,LSTM,True,50,1,False,50,1,False,,100,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,6,'list_wise',0.1,0.896187479806,0.712195883922,0.679765940221,0.6921781008,0.688912369981,'linear',False
7.21,LSTM,False,50,1,False,50,1,False,,100,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,13,'list_wise',0.1,0.926080077948,0.733515800778,0.677888962032,0.68696255733,0.702704241959,'dot_product',False
7.37,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,False,False,False,False,False,40,13,'list_wise',0.1,0.94302245105,0.718689882122,0.677443201517,0.69445510479,0.698030740374,'bilinear',False
7.71,CNN,False,50,1,False,100,,,1,100,0.04,'mul','w_sub_mul',None,0.002,,True,True,False,False,False,40,10,'list_wise',0.1,0.915946974715,0.744670342885,0.677068352282,0.6877918794,0.684825214668,'linear_p_bias',False
7.34,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,False,False,False,False,False,40,7,'list_wise',0.1,0.943951516356,0.728063884498,0.677046126453,0.68694726626,0.692605667872,'bilinear',False
7.1,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,False,False,40,7,'list_wise',0.1,0.921673703122,0.71074598519,0.676535410778,0.68602098993,0.683721854458,'linear',True
7.74,LSTM,False,50,1,False,50,1,False,,20,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,7,'list_wise',0.1,0.923720642843,0.737474041244,0.676093014962,0.69042628039,0.710683370308,'dot_product',False
7.31,CNN,True,50,1,False,100,,,1,20,0.04,'mul','mul',None,0.002,,False,False,False,False,False,40,13,'list_wise',0.1,0.933817817667,0.709657174836,0.675751467897,0.68177873795,0.675751467897,'linear_p_bias',False
7.5,LSTM,True,50,1,False,50,1,False,,50,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,9,'list_wise',0.1,0.898573391545,0.712235053306,0.674801554662,0.68746453592,0.674801554662,'linear_p_bias',False
