query1018	fast abstain Ramadan
MATERIAL_BASE-1A_76165586	0.062
MATERIAL_BASE-1A_14600448	0.057
MATERIAL_BASE-1A_43944430	0.055
MATERIAL_BASE-1A_63605935	0.055
MATERIAL_BASE-1A_72547287	0.055
MATERIAL_BASE-1A_28222779	0.053
MATERIAL_BASE-1A_99082541	0.053
MATERIAL_BASE-1A_58117333	0.052
MATERIAL_BASE-1A_69668848	0.052
MATERIAL_BASE-1A_43643062	0.051
MATERIAL_BASE-1A_61617911	0.051
MATERIAL_BASE-1A_72935017	0.047
MATERIAL_BASE-1A_50599196	0.046
MATERIAL_BASE-1A_25417203	0.045
MATERIAL_BASE-1A_48843423	0.045
MATERIAL_BASE-1A_79884789	0.045
MATERIAL_BASE-1A_55190800	0.045
MATERIAL_BASE-1A_66460699	0.044
MATERIAL_BASE-1A_53650158	0.044
MATERIAL_BASE-1A_62223615	0.044
