query1083	education make noise
MATERIAL_BASE-1A_70841827	0.110
MATERIAL_BASE-1A_48808420	0.083
MATERIAL_BASE-1A_61116602	0.078
MATERIAL_BASE-1A_25463943	0.076
MATERIAL_BASE-1A_14600448	0.062
MATERIAL_BASE-1A_15383749	0.059
MATERIAL_BASE-1A_40037828	0.050
MATERIAL_BASE-1A_62130346	0.047
MATERIAL_BASE-1A_93696077	0.045
MATERIAL_BASE-1A_30028405	0.045
MATERIAL_BASE-1A_39785873	0.044
MATERIAL_BASE-1A_64942041	0.038
MATERIAL_BASE-1A_16927363	0.037
MATERIAL_BASE-1A_56077082	0.034
MATERIAL_BASE-1A_43594711	0.033
MATERIAL_BASE-1A_68520913	0.032
MATERIAL_BASE-1A_76712667	0.031
MATERIAL_BASE-1A_30146228	0.031
MATERIAL_BASE-1A_17191110	0.031
MATERIAL_BASE-1A_55487833	0.030
