query1219	branches of government
MATERIAL_BASE-1A_89373680	0.079
MATERIAL_BASE-1A_74772281	0.077
MATERIAL_BASE-1A_90058259	0.077
MATERIAL_BASE-1A_54613934	0.075
MATERIAL_BASE-1A_58225364	0.071
MATERIAL_BASE-1A_72935017	0.060
MATERIAL_BASE-1A_39589867	0.055
MATERIAL_BASE-1A_27764637	0.054
MATERIAL_BASE-1A_63198014	0.050
MATERIAL_BASE-1A_40037828	0.047
MATERIAL_BASE-1A_10675424	0.038
MATERIAL_BASE-1A_52547417	0.037
MATERIAL_BASE-1A_85462874	0.036
MATERIAL_BASE-1A_12422908	0.036
MATERIAL_BASE-1A_49269898	0.036
MATERIAL_BASE-1A_25463943	0.035
MATERIAL_BASE-1A_67040268	0.035
MATERIAL_BASE-1A_97722327	0.034
MATERIAL_BASE-1A_49091708	0.034
MATERIAL_BASE-1A_31503968	0.034
