query1332	rooms of a house
MATERIAL_BASE-1A_26243546	0.087
MATERIAL_BASE-1A_58225364	0.064
MATERIAL_BASE-1A_47521512	0.059
MATERIAL_BASE-1A_27406725	0.057
MATERIAL_BASE-1A_30146228	0.056
MATERIAL_BASE-1A_36989926	0.054
MATERIAL_BASE-1A_39589867	0.054
MATERIAL_BASE-1A_87549824	0.053
MATERIAL_BASE-1A_27764637	0.053
MATERIAL_BASE-1A_63198014	0.050
MATERIAL_BASE-1A_40037828	0.048
MATERIAL_BASE-1A_10675424	0.042
MATERIAL_BASE-1A_52547417	0.041
MATERIAL_BASE-1A_85462874	0.041
MATERIAL_BASE-1A_12422908	0.041
MATERIAL_BASE-1A_49269898	0.040
MATERIAL_BASE-1A_25463943	0.040
MATERIAL_BASE-1A_67040268	0.040
MATERIAL_BASE-1A_97722327	0.039
MATERIAL_BASE-1A_49091708	0.039
