query1487	money Kikuyu
MATERIAL_BASE-1A_76423086	0.106
MATERIAL_BASE-1A_94513821	0.094
MATERIAL_BASE-1A_38140359	0.057
MATERIAL_BASE-1A_82081789	0.055
MATERIAL_BASE-1A_30146228	0.051
MATERIAL_BASE-1A_14600448	0.046
MATERIAL_BASE-1A_98001758	0.046
MATERIAL_BASE-1A_38244746	0.045
MATERIAL_BASE-1A_77261521	0.045
MATERIAL_BASE-1A_58369212	0.045
MATERIAL_BASE-1A_58117333	0.044
MATERIAL_BASE-1A_49149053	0.043
MATERIAL_BASE-1A_56711347	0.043
MATERIAL_BASE-1A_67949984	0.042
MATERIAL_BASE-1A_17966628	0.042
MATERIAL_BASE-1A_72935017	0.041
MATERIAL_BASE-1A_56806568	0.040
MATERIAL_BASE-1A_42755958	0.039
MATERIAL_BASE-1A_55651868	0.038
MATERIAL_BASE-1A_14493866	0.038
