query1519	well water source village
MATERIAL_BASE-1A_27197380	0.125
MATERIAL_BASE-1A_96893212	0.113
MATERIAL_BASE-1A_71538357	0.060
MATERIAL_BASE-1A_63198014	0.057
MATERIAL_BASE-1A_62130346	0.052
MATERIAL_BASE-1A_62642453	0.049
MATERIAL_BASE-1A_24474003	0.044
MATERIAL_BASE-1A_11704412	0.042
MATERIAL_BASE-1A_35861865	0.041
MATERIAL_BASE-1A_32872788	0.040
MATERIAL_BASE-1A_41731928	0.040
MATERIAL_BASE-1A_52871788	0.040
MATERIAL_BASE-1A_28498880	0.039
MATERIAL_BASE-1A_82104481	0.038
MATERIAL_BASE-1A_99590356	0.038
MATERIAL_BASE-1A_90058259	0.037
MATERIAL_BASE-1A_95514504	0.036
MATERIAL_BASE-1A_14542977	0.036
MATERIAL_BASE-1A_12422908	0.036
MATERIAL_BASE-1A_79504607	0.035
