query1644	crisis solution answer
MATERIAL_BASE-1A_75729680	0.064
MATERIAL_BASE-1A_79191269	0.063
MATERIAL_BASE-1A_50322071	0.061
MATERIAL_BASE-1A_46337253	0.055
MATERIAL_BASE-1A_44221425	0.051
MATERIAL_BASE-1A_49254567	0.050
MATERIAL_BASE-1A_38312182	0.050
MATERIAL_BASE-1A_56722528	0.049
MATERIAL_BASE-1A_29528824	0.049
MATERIAL_BASE-1A_37901502	0.049
MATERIAL_BASE-1A_27406725	0.049
MATERIAL_BASE-1A_82342690	0.048
MATERIAL_BASE-1A_93836436	0.048
MATERIAL_BASE-1A_90113579	0.048
MATERIAL_BASE-1A_65811352	0.048
MATERIAL_BASE-1A_99082541	0.047
MATERIAL_BASE-1A_91273579	0.044
MATERIAL_BASE-1A_76165586	0.043
MATERIAL_BASE-1A_25368752	0.042
MATERIAL_BASE-1A_38976938	0.040
