query1714	body anatomy respect
MATERIAL_BASE-1A_76423086	0.058
MATERIAL_BASE-1A_12823998	0.053
MATERIAL_BASE-1A_55632413	0.053
MATERIAL_BASE-1A_58225364	0.051
MATERIAL_BASE-1A_58117333	0.050
MATERIAL_BASE-1A_42755958	0.050
MATERIAL_BASE-1A_82053578	0.050
MATERIAL_BASE-1A_39009575	0.050
MATERIAL_BASE-1A_70427032	0.050
MATERIAL_BASE-1A_54124763	0.049
MATERIAL_BASE-1A_72935017	0.049
MATERIAL_BASE-1A_43387586	0.049
MATERIAL_BASE-1A_64942041	0.049
MATERIAL_BASE-1A_22912945	0.049
MATERIAL_BASE-1A_15374596	0.049
MATERIAL_BASE-1A_65705807	0.049
MATERIAL_BASE-1A_57086308	0.048
MATERIAL_BASE-1A_51398897	0.048
MATERIAL_BASE-1A_89097999	0.048
MATERIAL_BASE-1A_20861542	0.048
