query1782	Mwanza fishing
MATERIAL_BASE-1A_25144823	0.162
MATERIAL_BASE-1A_82053578	0.138
MATERIAL_BASE-1A_82081789	0.092
MATERIAL_BASE-1A_57639803	0.081
MATERIAL_BASE-1A_17966628	0.068
MATERIAL_BASE-1A_49171088	0.054
MATERIAL_BASE-1A_54653644	0.041
MATERIAL_BASE-1A_35831005	0.039
MATERIAL_BASE-1A_60755386	0.036
MATERIAL_BASE-1A_67515483	0.031
MATERIAL_BASE-1A_71135325	0.027
MATERIAL_BASE-1A_92855114	0.027
MATERIAL_BASE-1A_63603614	0.027
MATERIAL_BASE-1A_50015895	0.026
MATERIAL_BASE-1A_94655912	0.026
MATERIAL_BASE-1A_67040268	0.025
MATERIAL_BASE-1A_47990005	0.025
MATERIAL_BASE-1A_48710990	0.025
MATERIAL_BASE-1A_56912929	0.024
MATERIAL_BASE-1A_96697502	0.024
