query1797	poverty milk
MATERIAL_BASE-1A_31387205	0.131
MATERIAL_BASE-1A_93836436	0.074
MATERIAL_BASE-1A_70414618	0.066
MATERIAL_BASE-1A_12823998	0.055
MATERIAL_BASE-1A_76423086	0.054
MATERIAL_BASE-1A_41171885	0.048
MATERIAL_BASE-1A_17014807	0.046
MATERIAL_BASE-1A_36013765	0.046
MATERIAL_BASE-1A_98721812	0.046
MATERIAL_BASE-1A_66398346	0.046
MATERIAL_BASE-1A_22237197	0.045
MATERIAL_BASE-1A_58980630	0.042
MATERIAL_BASE-1A_46714252	0.041
MATERIAL_BASE-1A_37097817	0.040
MATERIAL_BASE-1A_54124763	0.039
MATERIAL_BASE-1A_15374596	0.039
MATERIAL_BASE-1A_87076050	0.039
MATERIAL_BASE-1A_53270745	0.039
MATERIAL_BASE-1A_11704412	0.033
MATERIAL_BASE-1A_91378159	0.032
