query1871	Chinese culture
MATERIAL_BASE-1A_81088241	0.069
MATERIAL_BASE-1A_16126086	0.069
MATERIAL_BASE-1A_99423388	0.059
MATERIAL_BASE-1A_70414618	0.058
MATERIAL_BASE-1A_62130346	0.058
MATERIAL_BASE-1A_71538357	0.057
MATERIAL_BASE-1A_55487833	0.053
MATERIAL_BASE-1A_27197380	0.051
MATERIAL_BASE-1A_77539357	0.050
MATERIAL_BASE-1A_96816965	0.049
MATERIAL_BASE-1A_55477175	0.046
MATERIAL_BASE-1A_63322712	0.043
MATERIAL_BASE-1A_32872788	0.043
MATERIAL_BASE-1A_59997334	0.043
MATERIAL_BASE-1A_56077082	0.043
MATERIAL_BASE-1A_64942041	0.042
MATERIAL_BASE-1A_35855388	0.042
MATERIAL_BASE-1A_57639803	0.042
MATERIAL_BASE-1A_19820992	0.041
MATERIAL_BASE-1A_86900404	0.041
