query1918	Chama cha Mapinduzi mining excavation
MATERIAL_BASE-1A_81088241	0.064
MATERIAL_BASE-1A_70414618	0.062
MATERIAL_BASE-1A_67515483	0.054
MATERIAL_BASE-1A_91273579	0.053
MATERIAL_BASE-1A_33341861	0.053
MATERIAL_BASE-1A_62130346	0.052
MATERIAL_BASE-1A_99865805	0.051
MATERIAL_BASE-1A_30660622	0.050
MATERIAL_BASE-1A_42599002	0.050
MATERIAL_BASE-1A_15711451	0.049
MATERIAL_BASE-1A_71378392	0.049
MATERIAL_BASE-1A_24644915	0.049
MATERIAL_BASE-1A_15762829	0.049
MATERIAL_BASE-1A_74243531	0.048
MATERIAL_BASE-1A_94202804	0.047
MATERIAL_BASE-1A_24678965	0.046
MATERIAL_BASE-1A_63603614	0.045
MATERIAL_BASE-1A_30028405	0.044
MATERIAL_BASE-1A_60333495	0.044
MATERIAL_BASE-1A_82081789	0.043
