query1925	end of the year exams
MATERIAL_BASE-1A_27764637	0.071
MATERIAL_BASE-1A_58225364	0.063
MATERIAL_BASE-1A_63198014	0.060
MATERIAL_BASE-1A_40037828	0.058
MATERIAL_BASE-1A_97722327	0.056
MATERIAL_BASE-1A_39589867	0.053
MATERIAL_BASE-1A_28472880	0.052
MATERIAL_BASE-1A_72471089	0.051
MATERIAL_BASE-1A_95514504	0.048
MATERIAL_BASE-1A_38312182	0.046
MATERIAL_BASE-1A_15451912	0.045
MATERIAL_BASE-1A_10675424	0.045
MATERIAL_BASE-1A_43594711	0.045
MATERIAL_BASE-1A_48807239	0.044
MATERIAL_BASE-1A_30471970	0.044
MATERIAL_BASE-1A_52547417	0.044
MATERIAL_BASE-1A_12422908	0.044
MATERIAL_BASE-1A_68222225	0.044
MATERIAL_BASE-1A_25463943	0.044
MATERIAL_BASE-1A_49269898	0.044
