query1933	boxing sports shoes footwear
MATERIAL_BASE-1A_94513821	0.100
MATERIAL_BASE-1A_40721739	0.098
MATERIAL_BASE-1A_52947774	0.097
MATERIAL_BASE-1A_38140359	0.047
MATERIAL_BASE-1A_37809135	0.042
MATERIAL_BASE-1A_87549824	0.042
MATERIAL_BASE-1A_55632413	0.042
MATERIAL_BASE-1A_30028405	0.042
MATERIAL_BASE-1A_39009575	0.041
MATERIAL_BASE-1A_57086308	0.041
MATERIAL_BASE-1A_42755958	0.041
MATERIAL_BASE-1A_22912945	0.041
MATERIAL_BASE-1A_89097999	0.041
MATERIAL_BASE-1A_37901502	0.041
MATERIAL_BASE-1A_43387586	0.041
MATERIAL_BASE-1A_51398897	0.041
MATERIAL_BASE-1A_97722327	0.041
MATERIAL_BASE-1A_31482565	0.041
MATERIAL_BASE-1A_70427032	0.040
MATERIAL_BASE-1A_63340468	0.040
