query2622	amending the constitution
MATERIAL_BASE-1A_24057909	0.051
MATERIAL_BASE-1A_85372217	0.051
MATERIAL_BASE-1A_25144823	0.051
MATERIAL_BASE-1A_43023949	0.051
MATERIAL_BASE-1A_26719783	0.051
MATERIAL_BASE-1A_15451912	0.050
MATERIAL_BASE-1A_64399138	0.050
MATERIAL_BASE-1A_72935017	0.050
MATERIAL_BASE-1A_82601227	0.050
MATERIAL_BASE-1A_87457377	0.050
MATERIAL_BASE-1A_14390845	0.050
MATERIAL_BASE-1A_95514504	0.050
MATERIAL_BASE-1A_40037828	0.050
MATERIAL_BASE-1A_30660622	0.050
MATERIAL_BASE-1A_56711347	0.049
MATERIAL_BASE-1A_49198372	0.049
MATERIAL_BASE-1A_74828012	0.049
MATERIAL_BASE-1A_32601005	0.049
MATERIAL_BASE-1A_15897597	0.049
MATERIAL_BASE-1A_11804760	0.049
