query2630	election do-over
MATERIAL_BASE-1A_15711451	0.102
MATERIAL_BASE-1A_63605935	0.096
MATERIAL_BASE-1A_93605104	0.075
MATERIAL_BASE-1A_74694153	0.075
MATERIAL_BASE-1A_45546706	0.062
MATERIAL_BASE-1A_74243531	0.059
MATERIAL_BASE-1A_67515483	0.057
MATERIAL_BASE-1A_61233220	0.055
MATERIAL_BASE-1A_26070053	0.049
MATERIAL_BASE-1A_12823998	0.044
MATERIAL_BASE-1A_56901456	0.038
MATERIAL_BASE-1A_85393698	0.038
MATERIAL_BASE-1A_19906241	0.034
MATERIAL_BASE-1A_71378392	0.034
MATERIAL_BASE-1A_84844713	0.033
MATERIAL_BASE-1A_30660622	0.032
MATERIAL_BASE-1A_62130346	0.030
MATERIAL_BASE-1A_13819224	0.030
MATERIAL_BASE-1A_92898880	0.029
MATERIAL_BASE-1A_42599002	0.029
