query2976	State house presidential residence
MATERIAL_BASE-1A_43517812	0.141
MATERIAL_BASE-1A_28835867	0.081
MATERIAL_BASE-1A_20882739	0.050
MATERIAL_BASE-1A_74772281	0.047
MATERIAL_BASE-1A_57261500	0.045
MATERIAL_BASE-1A_21672022	0.045
MATERIAL_BASE-1A_66063385	0.044
MATERIAL_BASE-1A_21417695	0.044
MATERIAL_BASE-1A_96697502	0.044
MATERIAL_BASE-1A_36013765	0.044
MATERIAL_BASE-1A_66460699	0.043
MATERIAL_BASE-1A_49332224	0.043
MATERIAL_BASE-1A_50015895	0.042
MATERIAL_BASE-1A_48919698	0.042
MATERIAL_BASE-1A_63682676	0.042
MATERIAL_BASE-1A_35073292	0.041
MATERIAL_BASE-1A_85281530	0.041
MATERIAL_BASE-1A_67774353	0.041
MATERIAL_BASE-1A_46714252	0.040
MATERIAL_BASE-1A_44221425	0.040
