query3041	friend person farm cultivated land
MATERIAL_BASE-1A_52161474	0.084
MATERIAL_BASE-1A_71538357	0.080
MATERIAL_BASE-1A_15897597	0.071
MATERIAL_BASE-1A_32872788	0.068
MATERIAL_BASE-1A_10419561	0.058
MATERIAL_BASE-1A_54613934	0.054
MATERIAL_BASE-1A_38430661	0.051
MATERIAL_BASE-1A_58225939	0.043
MATERIAL_BASE-1A_89722172	0.043
MATERIAL_BASE-1A_97722327	0.043
MATERIAL_BASE-1A_56722528	0.042
MATERIAL_BASE-1A_89373680	0.042
MATERIAL_BASE-1A_24039807	0.041
MATERIAL_BASE-1A_70962493	0.040
MATERIAL_BASE-1A_48638008	0.040
MATERIAL_BASE-1A_74659642	0.040
MATERIAL_BASE-1A_92622694	0.040
MATERIAL_BASE-1A_22532145	0.040
MATERIAL_BASE-1A_92855114	0.040
MATERIAL_BASE-1A_78240722	0.040
