query3736	fugitives person escaping from the law or pursuer
MATERIAL_BASE-1A_52161474	0.070
MATERIAL_BASE-1A_15897597	0.068
MATERIAL_BASE-1A_14600448	0.054
MATERIAL_BASE-1A_70841827	0.050
MATERIAL_BASE-1A_24678965	0.049
MATERIAL_BASE-1A_43387586	0.049
MATERIAL_BASE-1A_22912945	0.049
MATERIAL_BASE-1A_84844713	0.049
MATERIAL_BASE-1A_78138887	0.048
MATERIAL_BASE-1A_15451912	0.048
MATERIAL_BASE-1A_10162778	0.048
MATERIAL_BASE-1A_70427032	0.047
MATERIAL_BASE-1A_28835867	0.047
MATERIAL_BASE-1A_94655912	0.046
MATERIAL_BASE-1A_15374596	0.046
MATERIAL_BASE-1A_40696184	0.046
MATERIAL_BASE-1A_77261521	0.046
MATERIAL_BASE-1A_65094751	0.046
MATERIAL_BASE-1A_51398897	0.046
MATERIAL_BASE-1A_48343318	0.046
