query375	news weather
MATERIAL_BASE-1A_87549824	0.145
MATERIAL_BASE-1A_37809135	0.103
MATERIAL_BASE-1A_91324835	0.081
MATERIAL_BASE-1A_33280688	0.056
MATERIAL_BASE-1A_60911133	0.050
MATERIAL_BASE-1A_87076050	0.044
MATERIAL_BASE-1A_37418492	0.043
MATERIAL_BASE-1A_11185119	0.039
MATERIAL_BASE-1A_75729680	0.038
MATERIAL_BASE-1A_83588564	0.038
MATERIAL_BASE-1A_25285246	0.038
MATERIAL_BASE-1A_30660622	0.037
MATERIAL_BASE-1A_51398897	0.037
MATERIAL_BASE-1A_99856639	0.037
MATERIAL_BASE-1A_85302881	0.036
MATERIAL_BASE-1A_58369212	0.036
MATERIAL_BASE-1A_86900404	0.036
MATERIAL_BASE-1A_41581943	0.035
MATERIAL_BASE-1A_46668005	0.035
MATERIAL_BASE-1A_88549032	0.034
