query4137	child vaccination
MATERIAL_BASE-1A_68520913	0.102
MATERIAL_BASE-1A_25235580	0.087
MATERIAL_BASE-1A_12473437	0.084
MATERIAL_BASE-1A_53270745	0.068
MATERIAL_BASE-1A_40037828	0.062
MATERIAL_BASE-1A_36989926	0.051
MATERIAL_BASE-1A_28405120	0.048
MATERIAL_BASE-1A_57246772	0.046
MATERIAL_BASE-1A_55687529	0.046
MATERIAL_BASE-1A_27197380	0.045
MATERIAL_BASE-1A_66896248	0.044
MATERIAL_BASE-1A_31416816	0.043
MATERIAL_BASE-1A_27764637	0.040
MATERIAL_BASE-1A_43295964	0.038
MATERIAL_BASE-1A_50599196	0.037
MATERIAL_BASE-1A_70182706	0.034
MATERIAL_BASE-1A_58118717	0.033
MATERIAL_BASE-1A_89640844	0.032
MATERIAL_BASE-1A_90970735	0.031
MATERIAL_BASE-1A_10760160	0.030
