query478	British colonies
MATERIAL_BASE-1A_81088241	0.075
MATERIAL_BASE-1A_70414618	0.065
MATERIAL_BASE-1A_62130346	0.063
MATERIAL_BASE-1A_71538357	0.061
MATERIAL_BASE-1A_96816965	0.053
MATERIAL_BASE-1A_31416816	0.052
MATERIAL_BASE-1A_27197380	0.052
MATERIAL_BASE-1A_56077082	0.048
MATERIAL_BASE-1A_55477175	0.047
MATERIAL_BASE-1A_91324835	0.047
MATERIAL_BASE-1A_59997334	0.046
MATERIAL_BASE-1A_35855388	0.045
MATERIAL_BASE-1A_57639803	0.044
MATERIAL_BASE-1A_19820992	0.044
MATERIAL_BASE-1A_32872788	0.044
MATERIAL_BASE-1A_86900404	0.044
MATERIAL_BASE-1A_90058259	0.044
MATERIAL_BASE-1A_92898880	0.043
MATERIAL_BASE-1A_28835867	0.043
MATERIAL_BASE-1A_33341861	0.043
